category,small,industrious,prob
man,0,0,0.015927445678533637
man,0,1,0.05720587792140997
man,0,2,0.1384580518450496
man,1,0,0.03616313486027721
man,1,1,0.11912946050542594
man,1,2,0.2585621904828417
man,2,0,0.02021560413044662
man,2,1,0.08425450779878922
man,2,2,0.23616385682852895
ant,0,0,0.0004607112386352694
ant,0,1,0.0007854748986568563
ant,0,2,0.001518841495213273
ant,1,0,0.0002093161131036122
ant,1,1,0.00035065843690038285
ant,1,2,0.0006682495540125382
ant,2,0,0.004708367603635171
ant,2,1,0.008397128367667733
ant,2,2,0.016821122240872375
