category,funny,smart,prob
man,0,0,0.00815320340850627
man,0,1,0.04169595801485428
man,0,2,0.10846508804125202
man,1,0,0.018815084788860657
man,1,1,0.10250977229793037
man,1,2,0.23508285713722554
man,2,0,0.024749073068424415
man,2,1,0.13987044198742932
man,2,2,0.29704741986797295
monkey,0,0,0.00029141208763892
monkey,0,1,0.003372865542087648
monkey,0,2,0.002636517764080505
monkey,1,0,0.00038010272300728653
monkey,1,1,0.004489144228620533
monkey,1,2,0.0033846225616098206
monkey,2,0,0.0004161637505746448
monkey,2,1,0.004964440670718728
monkey,2,2,0.0036758320592062293
