category,funny,smart,prob
hyena,0,0,0.00003050054277379679
hyena,0,1,0.000040830101190363076
hyena,0,2,0.00016149477515664133
hyena,0,3,0.00016184545692000208
hyena,0,4,0.00003822457101207568
hyena,0,5,0.00001539749905195388
hyena,1,0,0.000011749513854524846
hyena,1,1,0.000009423082497900334
hyena,1,2,0.00007373433808538575
hyena,1,3,0.00015248825589459387
hyena,1,4,0.000024622894251656356
hyena,1,5,0.000006120136369021521
hyena,2,0,0.000026534926941026198
hyena,2,1,0.00003488167744120718
hyena,2,2,0.0001416666959927883
hyena,2,3,0.0001499486094216903
hyena,2,4,0.00003425895517930509
hyena,2,5,0.000013414691135568581
hyena,3,0,0.00001917870957123678
hyena,3,1,0.00002220711372974566
hyena,3,2,0.00010788296290639325
hyena,3,3,0.00015132790017852567
hyena,3,4,0.000029477413888941978
hyena,3,5,0.000009785658339025683
hyena,4,0,0.000008731044402492823
hyena,4,1,0.000008175853633407088
hyena,4,2,0.00005264728330012119
hyena,4,3,0.0000965369618060901
hyena,4,4,0.000016455072640771715
hyena,4,5,0.000004512749866301878
hyena,5,0,0.00002009280860095383
hyena,5,1,0.00002685873758787596
hyena,5,2,0.00010645875052987408
hyena,5,3,0.00010717431153526934
hyena,5,4,0.00002524216075980643
hyena,5,5,0.000010144556077180572
dog,0,0,0.00001016684759126562
dog,0,1,0.00003629342328032285
dog,0,2,0.00006459791006265648
dog,0,3,0.00005394848564000072
dog,0,4,0.00010193218936553524
dog,0,5,0.000020529998735938487
dog,1,0,0.000001174951385452485
dog,1,1,0.0000025128219994400977
dog,1,2,0.000008848120570246296
dog,1,3,0.000015248825589459395
dog,1,4,0.000019698315401325066
dog,1,5,0.0000024480545476086104
dog,2,0,0.000013267463470513123
dog,2,1,0.00004650890325494303
dog,2,2,0.00008500001759567285
dog,2,3,0.00007497430471084516
dog,2,4,0.0001370358207172204
dog,2,5,0.000026829382271137115
dog,3,0,0.000011986693482022995
dog,3,1,0.00003701185621624282
dog,3,2,0.00008091222217979487
dog,3,3,0.00009457993761157862
dog,3,4,0.00014738706944470977
dog,3,5,0.00002446414584756419
dog,4,0,0.000010186218469574983
dog,4,1,0.000025435989081710997
dog,4,2,0.0000737061966201696
dog,4,3,0.00011262645544043854
dog,4,4,0.00015358067798053614
dog,4,5,0.000021059499376075406
dog,5,0,0.000010046404300476932
dog,5,1,0.000035811650117168046
dog,5,2,0.00006387525031792434
dog,5,3,0.00005358715576763462
dog,5,4,0.00010096864303922575
dog,5,5,0.00002028911215436111
dolphin,0,0,0.000020333695182531207
dolphin,0,1,0.000009073355820080695
dolphin,0,2,0.00004306527337510434
dolphin,0,3,0.00001798282854666692
dolphin,0,4,0.00007644914202415151
dolphin,0,5,0.00010264999367969252
dolphin,1,0,0.000011749513854524824
dolphin,1,1,0.00000314102749930011
dolphin,1,2,0.00002949373523415437
dolphin,1,3,0.000025414709315765653
dolphin,1,4,0.00007386868275496902
dolphin,1,5,0.00006120136369021516
dolphin,2,0,0.000017689951294017477
dolphin,2,1,0.00000775148387582383
dolphin,2,2,0.000037777785598076874
dolphin,2,3,0.000016660956602410054
dolphin,2,4,0.00006851791035861031
dolphin,2,5,0.00008943127423712389
dolphin,3,0,0.000014384032178427574
dolphin,3,1,0.000005551778432436413
dolphin,3,2,0.000032364888871917975
dolphin,3,3,0.00001891598752231574
dolphin,3,4,0.00006632418125011947
dolphin,3,5,0.00007339243754269253
dolphin,4,0,0.000008731044402492823
dolphin,4,1,0.000002725284544469033
dolphin,4,2,0.000021058913320048456
dolphin,4,3,0.000016089493634348358
dolphin,4,4,0.0000493652179223152
dolphin,4,5,0.000045127498663018745
dolphin,5,0,0.000050232021502384464
dolphin,5,1,0.000022382281323229964
dolphin,5,2,0.00010645875052987408
dolphin,5,3,0.00004465596313969551
dolphin,5,4,0.00018931620569854807
dolphin,5,5,0.0002536139019295139
