category,big,hard,prob
turtle,0,0,0.00021052254312100123
turtle,0,1,0.00023037423438313718
turtle,0,2,0.0005492064618092235
turtle,1,0,0.00004279942230268813
turtle,1,1,0.00004676976055511532
turtle,1,2,0.000113315860754284
turtle,2,0,0.00015626198227502476
turtle,2,1,0.00016023232052745194
turtle,2,2,0.0006806286606159658
whale,0,0,0.00004912192672823343
whale,0,1,0.00008447055260715011
whale,0,2,0.000010984129236184486
whale,1,0,0.00009986531870627202
whale,1,1,0.0001714891220354226
whale,1,2,0.000022663172150856856
whale,2,0,0.0020053621058628082
whale,2,1,0.0032313517973036054
whale,2,2,0.0007486915266775629
armadillo,0,0,0.00016841803449680086
armadillo,0,1,0.00018429938750650957
armadillo,0,2,0.00043936516944737913
armadillo,1,0,0.0001069985557567202
armadillo,1,1,0.00011692440138778818
armadillo,1,2,0.0002832896518857098
armadillo,2,0,0.00007813099113751237
armadillo,2,1,0.00008011616026372596
armadillo,2,2,0.00034031433030798277
elephant,0,0,0.00030238511835821956
elephant,0,1,0.0003070171796527179
elephant,0,2,0.0002788928265144164
elephant,1,0,0.00030319585098312205
elephant,1,1,0.0003078279122776204
elephant,1,2,0.0002797035591393189
elephant,2,0,0.005226826051410173
elephant,2,1,0.005282410786944154
elephant,2,2,0.004944918549284537
man,0,0,0.13338708332146618
man,0,1,0.08514631702800733
man,0,2,0.011599240473410818
man,1,0,0.30507428217355986
man,1,1,0.19446866438816868
man,1,2,0.02692384851521786
man,2,0,0.123759489961819
man,2,1,0.0740273320836824
man,2,2,0.01796859664026146
