category,cute,big,prob
man,0,0,0.04380230389406599
man,0,1,0.1384959687597901
man,0,2,0.018615979154978028
man,1,0,0.09811716072270787
man,1,1,0.27401799162361457
man,1,2,0.03474982775595897
man,2,0,0.09198483817753858
man,2,1,0.24690667089760332
man,2,2,0.03066161272584616
panda,0,0,0.00011429894113771452
panda,0,1,0.0006462062376716269
panda,0,2,0.00014010837945913394
panda,1,0,0.000975596768549652
panda,1,1,0.005400964566629642
panda,1,2,0.0011562628367995879
panda,2,0,0.0018582795591421972
panda,2,1,0.010187936179507638
panda,2,2,0.00216799281899923
