category,small,industrious,prob
man,0,0,0.004863618377202924
man,0,1,0.0060795229715036566
man,0,2,0.01563305906958082
man,0,3,0.014590855131608765
man,0,4,0.02053527759263456
man,0,5,0.05747912627603453
man,1,0,0.005471570674353294
man,1,1,0.007295427565804395
man,1,2,0.017978017930017957
man,1,3,0.016414712023059875
man,1,4,0.023507488823147498
man,1,5,0.06250854982518768
man,2,0,0.00810603062867154
man,2,1,0.011145792114423368
man,2,2,0.026923601730944744
man,2,3,0.02431809188601461
man,2,4,0.03512613272424333
man,2,5,0.09100861660372138
man,3,0,0.010639165200131388
man,3,1,0.014894831280183948
man,3,2,0.035565209383296374
man,3,3,0.03191749560039418
man,3,4,0.046339475093905624
man,3,5,0.11819145340509604
man,4,0,0.00405301531433577
man,4,1,0.005268919908636502
man,4,2,0.013201249880979359
man,4,3,0.012159045943007304
man,4,4,0.017292865341165947
man,4,5,0.04694128645876152
man,5,0,0.0067232371684863975
man,5,1,0.007939141762787129
man,5,2,0.021211915443431234
man,5,3,0.02016971150545918
man,5,4,0.027973752757768446
man,5,5,0.08165417056271967
ant,0,0,0.0000982549167111702
ant,0,1,0.00033161034390019915
ant,0,2,0.0004070560835177052
ant,0,3,0.00029476475013351047
ant,0,4,0.0005049210997657364
ant,0,5,0.0008440990572005084
ant,1,0,0.00004298652606113695
ant,1,1,0.0001473823750667554
ant,1,2,0.00017896431258106
ant,1,3,0.000128959578183411
ant,1,4,0.00022175588841062745
ant,1,5,0.0003667811379502208
ant,2,0,0.000040939548629654255
ant,2,1,0.0001412414427723073
ant,2,2,0.0001707764028551292
ant,2,3,0.0001228186458889629
ant,2,4,0.00021152100125321386
ant,2,5,0.0003483583410668764
ant,3,0,0.00003991605991391289
ant,3,1,0.00013817097662508323
ant,3,2,0.00016668244799216377
ant,3,3,0.0001197481797417388
ant,3,4,0.00020640355767450705
ant,3,5,0.0003391469426252042
ant,4,0,0.00004503350349261968
ant,4,1,0.0001535233073612036
ant,4,2,0.0001871522223069909
ant,4,3,0.00013510051047785918
ant,4,4,0.00023199077556804103
ant,4,5,0.00038520393483356535
ant,5,0,0.0008777920867946458
ant,5,1,0.0029097182136341017
ant,5,2,0.0036164414722262635
ant,5,3,0.002633376260383936
ant,5,4,0.004491309305547363
ant,5,5,0.007598664832151631
