workerid,language,enjoyment,gender,age,comments,asses,education
0,english,2,Male,28,,Yes,1
1,English,1,Male,40,,Yes,2
2,English,2,Female,36,,Yes,3
3,English,1,Male,30,,Yes,-1
4,English,1,Male,43,,Yes,1
5,English,1,Female,33,,Yes,3
6,English,1,Male,27,,Yes,2
7,English,2,Male,28,"The first 5 I didn&quotechart do properly, I then realized my mistake and understood what was going on.",Yes,2
8,English,1,Male,30,,Yes,3
