date,workerid,amount
Thu Feb 04 10:24:12 PST 2016,A2P065E9CYMYJL,1.1
Thu Feb 04 10:25:53 PST 2016,AQL960O0LTRI8,1.1
Thu Feb 04 10:26:21 PST 2016,A1RSJ45RXTREWN,1.1
Thu Feb 04 10:27:57 PST 2016,A1FYFBIFYWTMJS,1.1
Thu Feb 04 10:28:32 PST 2016,A110KENBXU7SUJ,1.1
Thu Feb 04 10:35:10 PST 2016,A5NE8TWS8ZV7B,1.1
Thu Feb 04 10:35:29 PST 2016,A2541C8MY0BYV3,1.1
Thu Feb 04 10:41:09 PST 2016,A3MJ47AD05HGC,1.1
Thu Feb 04 11:00:17 PST 2016,A1M682B2WUSYJP,1.1
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
