workerID,gender,age,income,language,order,item,dimension,bin,prior
1,F,25,4,English,12,hamster,height,15,0.0
2,M,25,4,English,1,elephant,weight,0,0.0
2,M,25,4,English,1,elephant,weight,10,0.0
2,M,25,4,English,1,elephant,weight,100,0.0
2,M,25,4,English,1,elephant,weight,120,0.0320855614973
2,M,25,4,English,1,elephant,weight,140,0.0427807486631
2,M,25,4,English,1,elephant,weight,160,0.0588235294118
2,M,25,4,English,1,elephant,weight,180,0.0641711229947
2,M,25,4,English,1,elephant,weight,200,0.0695187165775
2,M,25,4,English,1,elephant,weight,220,0.229946524064
2,M,25,4,English,1,elephant,weight,10000,0.502673796791
2,M,25,4,English,2,man,weight,0,0.0
2,M,25,4,English,2,man,weight,10,0.0
2,M,25,4,English,2,man,weight,100,0.00709219858156
2,M,25,4,English,2,man,weight,120,0.0307328605201
2,M,25,4,English,2,man,weight,140,0.236406619385
2,M,25,4,English,2,man,weight,160,0.236406619385
2,M,25,4,English,2,man,weight,180,0.236406619385
2,M,25,4,English,2,man,weight,200,0.236406619385
2,M,25,4,English,2,man,weight,220,0.016548463357
2,M,25,4,English,2,man,weight,10000,0.0
2,M,25,4,English,3,turtle,speed,0,0.909090909091
2,M,25,4,English,3,turtle,speed,1,0.0636363636364
2,M,25,4,English,3,turtle,speed,5,0.0181818181818
2,M,25,4,English,3,turtle,speed,10,0.0
2,M,25,4,English,3,turtle,speed,12,0.0
2,M,25,4,English,3,turtle,speed,14,0.0
2,M,25,4,English,3,turtle,speed,16,0.00909090909091
2,M,25,4,English,3,turtle,speed,18,0.0
2,M,25,4,English,3,turtle,speed,20,0.0
2,M,25,4,English,3,turtle,speed,60,0.0
2,M,25,4,English,4,bird,weight,0,1.0
2,M,25,4,English,4,bird,weight,10,0.0
2,M,25,4,English,4,bird,weight,100,0.0
2,M,25,4,English,4,bird,weight,120,0.0
2,M,25,4,English,4,bird,weight,140,0.0
2,M,25,4,English,4,bird,weight,160,0.0
2,M,25,4,English,4,bird,weight,180,0.0
2,M,25,4,English,4,bird,weight,200,0.0
2,M,25,4,English,4,bird,weight,220,0.0
2,M,25,4,English,4,bird,weight,10000,0.0
2,M,25,4,English,5,giraffe,height,0,0.0
2,M,25,4,English,5,giraffe,height,0.5,0.0
2,M,25,4,English,5,giraffe,height,4,0.0
2,M,25,4,English,5,giraffe,height,4.5,0.0
2,M,25,4,English,5,giraffe,height,5,0.00289855072464
2,M,25,4,English,5,giraffe,height,5.5,0.0144927536232
2,M,25,4,English,5,giraffe,height,6,0.234782608696
2,M,25,4,English,5,giraffe,height,6.5,0.255072463768
2,M,25,4,English,5,giraffe,height,7,0.246376811594
2,M,25,4,English,5,giraffe,height,15,0.246376811594
2,M,25,4,English,6,woman,height,0,0.0
2,M,25,4,English,6,woman,height,0.5,0.011811023622
2,M,25,4,English,6,woman,height,4,0.0590551181102
2,M,25,4,English,6,woman,height,4.5,0.165354330709
2,M,25,4,English,6,woman,height,5,0.295275590551
2,M,25,4,English,6,woman,height,5.5,0.228346456693
2,M,25,4,English,6,woman,height,6,0.153543307087
2,M,25,4,English,6,woman,height,6.5,0.0708661417323
2,M,25,4,English,6,woman,height,7,0.0157480314961
2,M,25,4,English,6,woman,height,15,0.0
2,M,25,4,English,7,woman,weight,0,0.0
2,M,25,4,English,7,woman,weight,10,0.148367952522
2,M,25,4,English,7,woman,weight,100,0.148367952522
2,M,25,4,English,7,woman,weight,120,0.148367952522
2,M,25,4,English,7,woman,weight,140,0.148367952522
2,M,25,4,English,7,woman,weight,160,0.148367952522
2,M,25,4,English,7,woman,weight,180,0.13649851632
2,M,25,4,English,7,woman,weight,200,0.105341246291
2,M,25,4,English,7,woman,weight,220,0.0163204747774
2,M,25,4,English,7,woman,weight,10000,0.0
2,M,25,4,English,8,cheetah,speed,0,0.1
2,M,25,4,English,8,cheetah,speed,1,0.1
2,M,25,4,English,8,cheetah,speed,5,0.1
2,M,25,4,English,8,cheetah,speed,10,0.1
2,M,25,4,English,8,cheetah,speed,12,0.1
2,M,25,4,English,8,cheetah,speed,14,0.1
2,M,25,4,English,8,cheetah,speed,16,0.1
2,M,25,4,English,8,cheetah,speed,18,0.1
2,M,25,4,English,8,cheetah,speed,20,0.1
2,M,25,4,English,8,cheetah,speed,60,0.1
2,M,25,4,English,9,man,speed,0,0.182481751825
2,M,25,4,English,9,man,speed,1,0.182481751825
2,M,25,4,English,9,man,speed,5,0.182481751825
2,M,25,4,English,9,man,speed,10,0.166058394161
2,M,25,4,English,9,man,speed,12,0.129562043796
2,M,25,4,English,9,man,speed,14,0.102189781022
2,M,25,4,English,9,man,speed,16,0.0383211678832
2,M,25,4,English,9,man,speed,18,0.0164233576642
2,M,25,4,English,9,man,speed,20,0.0
2,M,25,4,English,9,man,speed,60,0.0
2,M,25,4,English,10,woman,speed,0,0.243309002433
2,M,25,4,English,10,woman,speed,1,0.243309002433
2,M,25,4,English,10,woman,speed,5,0.228710462287
2,M,25,4,English,10,woman,speed,10,0.165450121655
2,M,25,4,English,10,woman,speed,12,0.0827250608273
2,M,25,4,English,10,woman,speed,14,0.036496350365
2,M,25,4,English,10,woman,speed,16,0.0
2,M,25,4,English,10,woman,speed,18,0.0
2,M,25,4,English,10,woman,speed,20,0.0
2,M,25,4,English,10,woman,speed,60,0.0
2,M,25,4,English,11,man,height,0,0.00613496932515
2,M,25,4,English,11,man,height,0.5,0.0306748466258
2,M,25,4,English,11,man,height,4,0.0460122699387
2,M,25,4,English,11,man,height,4.5,0.0644171779141
2,M,25,4,English,11,man,height,5,0.138036809816
2,M,25,4,English,11,man,height,5.5,0.239263803681
2,M,25,4,English,11,man,height,6,0.208588957055
2,M,25,4,English,11,man,height,6.5,0.168711656442
2,M,25,4,English,11,man,height,7,0.0981595092025
2,M,25,4,English,11,man,height,15,0.0
2,M,25,4,English,12,hamster,height,0,0.372670807453
2,M,25,4,English,12,hamster,height,0.5,0.621118012422
2,M,25,4,English,12,hamster,height,4,0.0
2,M,25,4,English,12,hamster,height,4.5,0.0
2,M,25,4,English,12,hamster,height,5,0.0
2,M,25,4,English,12,hamster,height,5.5,0.0
2,M,25,4,English,12,hamster,height,6,0.0
2,M,25,4,English,12,hamster,height,6.5,0.0
2,M,25,4,English,12,hamster,height,7,0.00621118012422
2,M,25,4,English,12,hamster,height,15,0.0
3,M,25,4,English,1,turtle,speed,0,1.0
3,M,25,4,English,1,turtle,speed,1,0.0
3,M,25,4,English,1,turtle,speed,5,0.0
3,M,25,4,English,1,turtle,speed,10,0.0
3,M,25,4,English,1,turtle,speed,12,0.0
3,M,25,4,English,1,turtle,speed,14,0.0
3,M,25,4,English,1,turtle,speed,16,0.0
3,M,25,4,English,1,turtle,speed,18,0.0
3,M,25,4,English,1,turtle,speed,20,0.0
3,M,25,4,English,1,turtle,speed,60,0.0
3,M,25,4,English,2,man,weight,0,0.0
3,M,25,4,English,2,man,weight,10,0.11190053286
3,M,25,4,English,2,man,weight,100,0.117229129663
3,M,25,4,English,2,man,weight,120,0.138543516874
3,M,25,4,English,2,man,weight,140,0.138543516874
3,M,25,4,English,2,man,weight,160,0.152753108348
3,M,25,4,English,2,man,weight,180,0.154529307282
3,M,25,4,English,2,man,weight,200,0.1243339254
3,M,25,4,English,2,man,weight,220,0.0621669626998
3,M,25,4,English,2,man,weight,10000,0.0
3,M,25,4,English,3,hamster,height,0,0.884955752212
3,M,25,4,English,3,hamster,height,0.5,0.115044247788
3,M,25,4,English,3,hamster,height,4,0.0
3,M,25,4,English,3,hamster,height,4.5,0.0
3,M,25,4,English,3,hamster,height,5,0.0
3,M,25,4,English,3,hamster,height,5.5,0.0
3,M,25,4,English,3,hamster,height,6,0.0
3,M,25,4,English,3,hamster,height,6.5,0.0
3,M,25,4,English,3,hamster,height,7,0.0
3,M,25,4,English,3,hamster,height,15,0.0
3,M,25,4,English,4,woman,weight,0,0.0117647058824
3,M,25,4,English,4,woman,weight,10,0.0490196078431
3,M,25,4,English,4,woman,weight,100,0.154901960784
3,M,25,4,English,4,woman,weight,120,0.172549019608
3,M,25,4,English,4,woman,weight,140,0.172549019608
3,M,25,4,English,4,woman,weight,160,0.164705882353
3,M,25,4,English,4,woman,weight,180,0.139215686275
3,M,25,4,English,4,woman,weight,200,0.0843137254902
3,M,25,4,English,4,woman,weight,220,0.0509803921569
3,M,25,4,English,4,woman,weight,10000,0.0
3,M,25,4,English,5,elephant,weight,0,0.0
3,M,25,4,English,5,elephant,weight,10,0.0390804597701
3,M,25,4,English,5,elephant,weight,100,0.0551724137931
3,M,25,4,English,5,elephant,weight,120,0.0528735632184
3,M,25,4,English,5,elephant,weight,140,0.131034482759
3,M,25,4,English,5,elephant,weight,160,0.163218390805
3,M,25,4,English,5,elephant,weight,180,0.163218390805
3,M,25,4,English,5,elephant,weight,200,0.195402298851
3,M,25,4,English,5,elephant,weight,220,0.197701149425
3,M,25,4,English,5,elephant,weight,10000,0.00229885057471
3,M,25,4,English,6,cheetah,speed,0,0.103626943005
3,M,25,4,English,6,cheetah,speed,1,0.103626943005
3,M,25,4,English,6,cheetah,speed,5,0.102590673575
3,M,25,4,English,6,cheetah,speed,10,0.103626943005
3,M,25,4,English,6,cheetah,speed,12,0.103626943005
3,M,25,4,English,6,cheetah,speed,14,0.103626943005
3,M,25,4,English,6,cheetah,speed,16,0.103626943005
3,M,25,4,English,6,cheetah,speed,18,0.103626943005
3,M,25,4,English,6,cheetah,speed,20,0.103626943005
3,M,25,4,English,6,cheetah,speed,60,0.0683937823834
3,M,25,4,English,7,woman,height,0,0.0
3,M,25,4,English,7,woman,height,0.5,0.035447761194
3,M,25,4,English,7,woman,height,4,0.139925373134
3,M,25,4,English,7,woman,height,4.5,0.166044776119
3,M,25,4,English,7,woman,height,5,0.169776119403
3,M,25,4,English,7,woman,height,5.5,0.167910447761
3,M,25,4,English,7,woman,height,6,0.151119402985
3,M,25,4,English,7,woman,height,6.5,0.132462686567
3,M,25,4,English,7,woman,height,7,0.0373134328358
3,M,25,4,English,7,woman,height,15,0.0
3,M,25,4,English,8,man,speed,0,0.373134328358
3,M,25,4,English,8,man,speed,1,0.373134328358
3,M,25,4,English,8,man,speed,5,0.253731343284
3,M,25,4,English,8,man,speed,10,0.0
3,M,25,4,English,8,man,speed,12,0.0
3,M,25,4,English,8,man,speed,14,0.0
3,M,25,4,English,8,man,speed,16,0.0
3,M,25,4,English,8,man,speed,18,0.0
3,M,25,4,English,8,man,speed,20,0.0
3,M,25,4,English,8,man,speed,60,0.0
3,M,25,4,English,9,bird,weight,0,0.613496932515
3,M,25,4,English,9,bird,weight,10,0.386503067485
3,M,25,4,English,9,bird,weight,100,0.0
3,M,25,4,English,9,bird,weight,120,0.0
3,M,25,4,English,9,bird,weight,140,0.0
3,M,25,4,English,9,bird,weight,160,0.0
3,M,25,4,English,9,bird,weight,180,0.0
3,M,25,4,English,9,bird,weight,200,0.0
3,M,25,4,English,9,bird,weight,220,0.0
3,M,25,4,English,9,bird,weight,10000,0.0
3,M,25,4,English,10,giraffe,height,0,0.0
3,M,25,4,English,10,giraffe,height,0.5,0.0
3,M,25,4,English,10,giraffe,height,4,0.0450819672131
3,M,25,4,English,10,giraffe,height,4.5,0.0881147540984
3,M,25,4,English,10,giraffe,height,5,0.0860655737705
3,M,25,4,English,10,giraffe,height,5.5,0.0901639344262
3,M,25,4,English,10,giraffe,height,6,0.120901639344
3,M,25,4,English,10,giraffe,height,6.5,0.159836065574
3,M,25,4,English,10,giraffe,height,7,0.204918032787
3,M,25,4,English,10,giraffe,height,15,0.204918032787
3,M,25,4,English,11,man,height,0,0.0182555780933
3,M,25,4,English,11,man,height,0.5,0.052738336714
3,M,25,4,English,11,man,height,4,0.0973630831643
3,M,25,4,English,11,man,height,4.5,0.119675456389
3,M,25,4,English,11,man,height,5,0.150101419878
3,M,25,4,English,11,man,height,5.5,0.170385395538
3,M,25,4,English,11,man,height,6,0.170385395538
3,M,25,4,English,11,man,height,6.5,0.170385395538
3,M,25,4,English,11,man,height,7,0.0486815415822
3,M,25,4,English,11,man,height,15,0.00202839756592
3,M,25,4,English,12,woman,speed,0,0.416666666667
3,M,25,4,English,12,woman,speed,1,0.416666666667
3,M,25,4,English,12,woman,speed,5,0.166666666667
3,M,25,4,English,12,woman,speed,10,0.0
3,M,25,4,English,12,woman,speed,12,0.0
3,M,25,4,English,12,woman,speed,14,0.0
3,M,25,4,English,12,woman,speed,16,0.0
3,M,25,4,English,12,woman,speed,18,0.0
3,M,25,4,English,12,woman,speed,20,0.0
3,M,25,4,English,12,woman,speed,60,0.0
4,M,35,6,English,1,hamster,height,0,0.897959183673
4,M,35,6,English,1,hamster,height,0.5,0.0816326530612
