item,dimension,bin,bin_num,N,prior,sd,se,ci,animal
giraffe,height,0-1,0,30,0.0105799999930897,0.0243662364952889,0.00444864578999178,0.00909850223704005,animalB
giraffe,height,1-4,1,30,0.018882016250192,0.0261475197950118,0.00477386213818027,0.00976364435246129,animalB
giraffe,height,4-4.5,2,30,0.0273339431278523,0.032720312024351,0.00597388432811485,0.0122179653065325,animalB
giraffe,height,4.5-5,3,30,0.0399459523137403,0.0358818038059132,0.00655109111615778,0.0133984857390781,animalB
giraffe,height,5-5.5,4,30,0.0563239641838323,0.0460746430606498,0.00841204044443892,0.0172045544677856,animalB
giraffe,height,5.5-6,5,30,0.072446778529327,0.0574822782436989,0.0104947801502874,0.0214642354510338,animalB
giraffe,height,6-6.5,6,30,0.09359340710608,0.0648573966724162,0.0118412863928476,0.0242181499316346,animalB
giraffe,height,6.5-7,7,30,0.14108672130692,0.10207943250688,0.0186370692804481,0.0381170865348534,animalB
giraffe,height,7-15,8,30,0.265113243259273,0.142909406961734,0.0260915686242092,0.0533632495599722,animalB
man,height,>15,9,30,0.0183994988903297,0.0823926973031732,0.015042779628881,0.0307659387970574,man
man,height,0-1,0,30,0.00466584651275533,0.00686561136702213,0.00125348340559397,0.00256366141704223,man
man,height,1-4,1,30,0.0256393467368847,0.0263003591237148,0.0048017666541818,0.00982071549573699,man
man,height,4-4.5,2,30,0.055110737963629,0.0317727529289618,0.00580088449774358,0.0118641409253732,man
man,height,4.5-5,3,30,0.0857493009542357,0.0381358540838087,0.00696262251047585,0.0142401619454056,man
man,height,5-5.5,4,30,0.15851605077849,0.0671587291803735,0.0122614503018237,0.0250774816128267,man
man,height,5.5-6,5,30,0.275003998648351,0.0956397587297558,0.0174613510835463,0.0357124728277549,man
man,height,6-6.5,6,30,0.207387504980247,0.0594912514924418,0.0108615668055411,0.0222143983906972,man
man,height,6.5-7,7,30,0.10909237227593,0.0597505523058152,0.0109089084404291,0.0223112229056772,man
man,height,7-15,8,30,0.0604353422593143,0.082871970744134,0.0151302825871568,0.0309449024410974,man
man,speed,>60,9,30,0.0161616906241867,0.0771648252903865,0.0140883051524966,0.0288138193052969,man
man,speed,0-1,0,30,0.0692925512364423,0.0658860697372234,0.0120290955401452,0.0246022627667514,man
man,speed,1-5,1,30,0.153389251334603,0.111209492421981,0.0203039825360729,0.0415263069361211,man
man,speed,10-20,7,30,0.0752116301026433,0.104598294757439,0.0190969485050745,0.0390576451568602,man
man,speed,20-60,8,30,0.0456354602147027,0.0918884621129011,0.0167764611578983,0.0343117156502215,man
man,speed,5-6,2,30,0.164912741068333,0.0830631817693397,0.0151651927844064,0.031016301811325,man
man,speed,6-7,3,30,0.16471019646636,0.0840073043119536,0.0153375651889527,0.0313688429625887,man
man,speed,7-8,4,30,0.126475994314087,0.0624105174675174,0.0113945494141765,0.0233044702206196,man
man,speed,8-9,5,30,0.102881751320657,0.0541906316895212,0.00989381046060168,0.0202351144276652,man
man,speed,9-10,6,30,0.0813287333178603,0.0546220133892815,0.00997256962321955,0.0203961950016408,man
man,weight,>10000,9,30,0.005026021062748,0.0144273013825055,0.00263405280370791,0.00538724287308618,man
man,weight,0-10,0,30,0.008442112435133,0.032891696513268,0.00600517471164363,0.0122819613264393,man
man,weight,10-100,1,30,0.033886558319676,0.0313521459144013,0.00572409251450367,0.0117070836849728,man
man,weight,100-120,2,30,0.07570437419588,0.037517684736967,0.00684976074526804,0.0140093337177392,man
man,weight,120-140,3,30,0.113938707430203,0.0415555860586518,0.00758697729155693,0.0155171108508799,man
man,weight,140-160,4,30,0.15562964200941,0.0319115254925651,0.00582622078555969,0.0119159594522364,man
man,weight,160-180,5,30,0.178586353401867,0.035509113743513,0.00648304753144625,0.0132593209826691,man
man,weight,180-200,6,30,0.175455778594023,0.0450687958334501,0.00822839870585848,0.0168289649405081,man
man,weight,200-220,7,30,0.147148214448303,0.0366684139118469,0.00669470581581827,0.0136922107798697,man
man,weight,220-10000,8,30,0.106182238102743,0.0516294078685176,0.00942619710674061,0.0192787377352914,man
penguin,height,>15,9,30,0.006891692746014,0.0111174328633968,0.00202975625361056,0.00415131765618853,animalA
penguin,height,0-1,0,30,0.205810960034787,0.159630369127834,0.0291443846780636,0.0596069594452938,animalA
penguin,height,1-4,1,30,0.458766168805167,0.204912539162508,0.0374117400049888,0.076515599621965,animalA
penguin,height,4-4.5,2,30,0.145350577233808,0.124953428722116,0.022813270516239,0.046658377093804,animalA
penguin,height,4.5-5,3,30,0.083623728540052,0.105454323233099,0.0192532372070698,0.0393772914429115,animalA
penguin,height,5-5.5,4,30,0.0425689469496057,0.0771639135052672,0.0140881386840708,0.028813478839138,animalA
penguin,height,5.5-6,5,30,0.031448137596977,0.0541042570678834,0.00987804068437936,0.0202028616138855,animalA
penguin,height,6-6.5,6,30,0.006251511937344,0.00942031523549807,0.00171990638443063,0.00351760351913081,animalA
penguin,height,6.5-7,7,30,0.0103438381156437,0.0308120210630678,0.00562547965952218,0.0115053977508694,animalA
penguin,height,7-15,8,30,0.00894443804051267,0.0205309849144399,0.00374842785514567,0.00766639576073983,animalA
turtle,speed,>60,9,30,0.00540700903592333,0.00969016750635973,0.00176917444307894,0.00361836801308866,animalA
turtle,speed,0-1,0,30,0.471321580972,0.260892598734861,0.0476322538044091,0.0974188974023658,animalA
turtle,speed,1-5,1,30,0.320479211884384,0.205114444673609,0.0374486027392936,0.0765909923788553,animalA
turtle,speed,10-20,7,30,0.0102423376868027,0.0230189290729162,0.00420266223428255,0.00859540937742633,animalA
turtle,speed,20-60,8,30,0.00528287277537933,0.00940359166862061,0.00171685309282372,0.00351135883663028,animalA
turtle,speed,5-6,2,30,0.102094320911577,0.114048651503362,0.0208223396938123,0.0425864663603413,animalA
turtle,speed,6-7,3,30,0.0371106414013783,0.0511019970573865,0.00932990550729774,0.0190817993018225,animalA
turtle,speed,7-8,4,30,0.018758892985418,0.0369497733935499,0.00674607479411717,0.0137972721369727,animalA
turtle,speed,8-9,5,30,0.0163937191101723,0.0310823013665102,0.00567482586587043,0.0116063220748196,animalA
turtle,speed,9-10,6,30,0.0129094132369433,0.0265196069541954,0.00484179564832789,0.00990258398110934,animalA
woman,height,>15,9,30,0.00617326097329267,0.0218266277803608,0.00398497879652417,0.00815019675792153,woman
woman,height,0-1,0,30,0.008093452863883,0.0232881164649494,0.00425180890322008,0.00869592560154944,woman
woman,height,1-4,1,30,0.04065836891396,0.0375195321120738,0.00685009802827409,0.014010023538941,woman
woman,height,4-4.5,2,30,0.100889918421187,0.0461477372483754,0.0084253855562522,0.0172318482860437,woman
woman,height,4.5-5,3,30,0.168045813088943,0.0640909221163998,0.0117013479248196,0.0239319436287491,woman
woman,height,5-5.5,4,30,0.287079538841867,0.071048273417282,0.0129715806741467,0.0265298613000805,woman
woman,height,5.5-6,5,30,0.2272221608992,0.0610303893650113,0.0111425736495134,0.0227891219176315,woman
woman,height,6-6.5,6,30,0.0925271982385433,0.0444041685324608,0.00810705491749662,0.0165807890276618,woman
woman,height,6.5-7,7,30,0.049719152114149,0.0382686257752331,0.0069868631939396,0.0142897397097712,woman
woman,height,7-15,8,30,0.0195911356449417,0.0268782268168002,0.00490727037776725,0.0100364948385693,woman
woman,speed,>60,9,30,0.00223763408401833,0.00482220940471463,0.00088041095599192,0.00180064258445307,woman
woman,speed,0-1,0,30,0.070361131255806,0.0745032742460957,0.0136023746375268,0.0278199798120639,woman
woman,speed,1-5,1,30,0.154514100674333,0.106678894039994,0.0194768122251361,0.039834553697101,woman
woman,speed,10-20,7,30,0.0678437134865957,0.0921149566655508,0.0168178132164443,0.0343962901061231,woman
woman,speed,20-60,8,30,0.0152574575234293,0.0315987794384496,0.00576912142935642,0.0117991781563827,woman
woman,speed,5-6,2,30,0.181532011822487,0.0921368790006077,0.016821815668919,0.0344044760405654,woman
woman,speed,6-7,3,30,0.169249442019243,0.0521420530208176,0.00951979287804407,0.0194701625811395,woman
woman,speed,7-8,4,30,0.144015808486637,0.0532865260600531,0.00972874411139266,0.0198975158373442,woman
woman,speed,8-9,5,30,0.110163460734857,0.0542985195063047,0.00991350799091245,0.0202754004005336,woman
woman,speed,9-10,6,30,0.0848252399126637,0.0591419563778142,0.0107977945343718,0.0220839694513557,woman
woman,weight,>10000,9,30,0.000930240338364333,0.001694272361202,0.000309330396929292,0.000632651697012462,woman
woman,weight,0-10,0,30,0.00268880957060967,0.00760459572865802,0.00138840287376448,0.00283960271264534,woman
woman,weight,10-100,1,30,0.09555471248335,0.0475587251554687,0.00868299552461287,0.0177587198294438,woman
woman,weight,100-120,2,30,0.16524644318164,0.0748550957518196,0.0136666081624936,0.0279513521213446,woman
woman,weight,120-140,3,30,0.1769125620819,0.0372537615898141,0.00680157519155357,0.0139107831949598,woman
woman,weight,140-160,4,30,0.16414176220851,0.0346241814326769,0.00632148173527622,0.0129288818271874,woman
woman,weight,160-180,5,30,0.13880785555072,0.0344172557628859,0.00628370244958576,0.0128516145122347,woman
woman,weight,180-200,6,30,0.112164134334393,0.0381354412947587,0.00696254714585112,0.0142400078074412,woman
woman,weight,200-220,7,30,0.0893650538296733,0.0399883339595202,0.00730083751555969,0.0149318892992172,woman
woman,weight,220-10000,8,30,0.054188426420753,0.0399096867144496,0.00728647855882276,0.0149025219352687,woman
