item,dimension,bin,bin_num,N,prior,sd,se,ci,animal
bird,weight,>10000,9,30,0.00599223800996,0.00894168904724235,0.0016325215977905,0.00333888156322298,animalA
bird,weight,0-10,0,30,0.536260708084933,0.216707188676789,0.0395651385372685,0.0809197941315085,animalA
bird,weight,10-100,1,30,0.258905119455233,0.144734738783178,0.0264248270953881,0.0540448396637192,animalA
bird,weight,100-120,2,30,0.0540259993885453,0.0608866660635033,0.011116333484755,0.0227354547548533,animalA
bird,weight,120-140,3,30,0.038898567998987,0.0439100583961634,0.00801684316164927,0.016396285270534,animalA
bird,weight,140-160,4,30,0.031865192036153,0.0389990955279145,0.00712022811431254,0.0145625015981386,animalA
bird,weight,160-180,5,30,0.021766059588123,0.025862595916858,0.00472184239310137,0.00965725202784974,animalA
bird,weight,180-200,6,30,0.0220938825020947,0.0348419529711692,0.0063612411966145,0.0130101990560717,animalA
bird,weight,200-220,7,30,0.017559835917681,0.0250143924284686,0.00456698233178622,0.00934052764006551,animalA
bird,weight,220-10000,8,30,0.01263239701822,0.0183637881074546,0.003352753662566,0.00685715117344897,animalA
cheetah,speed,>60,9,30,0.176811202107631,0.194440643125641,0.0354998421119085,0.0726053293783061,animalB
cheetah,speed,0-1,0,30,0.0474271137031097,0.047086069050447,0.00859670072105856,0.0175822271392526,animalB
cheetah,speed,1-5,1,30,0.0540927452664767,0.0482638821634543,0.00881173899123173,0.0180220297836037,animalB
cheetah,speed,10-20,7,30,0.119858864657327,0.0926664283817258,0.016918497716036,0.0346022130291914,animalB
cheetah,speed,20-60,8,30,0.279698500329703,0.237005905135806,0.0432711601682701,0.0884994594256179,animalB
cheetah,speed,5-6,2,30,0.058581191268784,0.0488630334248634,0.00892112854497553,0.0182457565414601,animalB
cheetah,speed,6-7,3,30,0.059961135667886,0.0492388785269646,0.00898974815849175,0.0183860994090552,animalB
cheetah,speed,7-8,4,30,0.062919858450124,0.0482505047301065,0.00880929661722968,0.0180170345678975,animalB
cheetah,speed,8-9,5,30,0.0666201793971333,0.044228441086543,0.0080749716221293,0.0165151713209592,animalB
cheetah,speed,9-10,6,30,0.0740292091516873,0.0418865717153992,0.00764740672836067,0.0156407029262883,animalB
elephant,weight,>10000,9,30,0.218814401547509,0.24029142600086,0.0438710114652514,0.0897262930790759,animalB
elephant,weight,0-10,0,30,0.0151946926075433,0.0338609520549026,0.00618213575302368,0.0126438872937724,animalB
elephant,weight,10-100,1,30,0.0225916396726337,0.0316639349742263,0.0057810171482535,0.0118235076332855,animalB
elephant,weight,100-120,2,30,0.0322757021291367,0.0419248290734474,0.00765439153435851,0.0156549884585597,animalB
elephant,weight,120-140,3,30,0.036245239058414,0.0376078854906301,0.00686622907442979,0.0140430152326972,animalB
elephant,weight,140-160,4,30,0.0439219176528107,0.0466957700503316,0.00852544219888026,0.0174364870974389,animalB
elephant,weight,160-180,5,30,0.0487360237276323,0.0489647025924726,0.0089396907104763,0.0182837204325645,animalB
elephant,weight,180-200,6,30,0.0623274468850367,0.056880964789993,0.0103849958360454,0.0212397013173048,animalB
elephant,weight,200-220,7,30,0.104543363204844,0.114532941262391,0.0209107585022753,0.0427673031283318,animalB
elephant,weight,220-10000,8,30,0.415349573514332,0.247120782702359,0.0451178757048048,0.0922764167815258,animalB
giraffe,height,>15,9,30,0.274693973929906,0.203714367791343,0.0371929848424074,0.076068195079084,animalB
