animal,feature,featureType,question,bin,Freq
ant,smart,expanded,general,2,0.285714285714286
ant,smart,expanded,general,3,0.0714285714285714
ant,smart,expanded,general,4,0.214285714285714
ant,smart,expanded,industrious,0,0.363636363636364
ant,smart,expanded,industrious,1,0.181818181818182
ant,smart,expanded,industrious,2,0.0909090909090909
ant,smart,expanded,industrious,3,0.0909090909090909
ant,smart,expanded,industrious,4,0.272727272727273
ant,smart,expanded,small,0,0.111111111111111
ant,smart,expanded,small,1,0.111111111111111
ant,smart,expanded,small,2,0.444444444444444
ant,smart,expanded,small,3,0.111111111111111
ant,smart,expanded,small,4,0.222222222222222
bird,agile,expanded,fast,0,0.25
bird,agile,expanded,fast,1,0.125
bird,agile,expanded,fast,2,0.25
bird,agile,expanded,fast,3,0.25
bird,agile,expanded,fast,4,0.125
bird,agile,expanded,general,0,0.133333333333333
bird,agile,expanded,general,1,0.0666666666666667
bird,agile,expanded,general,2,0.2
bird,agile,expanded,general,3,0.266666666666667
bird,agile,expanded,general,4,0.333333333333333
bird,agile,expanded,small,0,0.142857142857143
bird,agile,expanded,small,1,0.285714285714286
bird,agile,expanded,small,2,0.285714285714286
bird,agile,expanded,small,3,0.142857142857143
bird,agile,expanded,small,4,0.142857142857143
bird,fast,core,fast,0,0.25
bird,fast,core,fast,1,0.125
bird,fast,core,fast,2,0.125
bird,fast,core,fast,3,0.25
bird,fast,core,fast,4,0.25
bird,fast,core,general,0,0.133333333333333
bird,fast,core,general,1,0.133333333333333
bird,fast,core,general,2,0.2
bird,fast,core,general,3,0.333333333333333
bird,fast,core,general,4,0.2
bird,fast,core,small,0,0.142857142857143
bird,fast,core,small,1,0.142857142857143
bird,fast,core,small,2,0.285714285714286
bird,fast,core,small,3,0.142857142857143
bird,fast,core,small,4,0.285714285714286
bird,industrious,expanded,fast,0,0.25
bird,industrious,expanded,fast,1,0.125
bird,industrious,expanded,fast,2,0.375
bird,industrious,expanded,fast,3,0.125
bird,industrious,expanded,fast,4,0.125
bird,industrious,expanded,general,0,0.0666666666666667
bird,industrious,expanded,general,1,0.2
bird,industrious,expanded,general,2,0.266666666666667
bird,industrious,expanded,general,3,0.333333333333333
bird,industrious,expanded,general,4,0.133333333333333
bird,industrious,expanded,small,0,0.142857142857143
bird,industrious,expanded,small,1,0.142857142857143
bird,industrious,expanded,small,2,0.428571428571429
bird,industrious,expanded,small,3,0.142857142857143
bird,industrious,expanded,small,4,0.142857142857143
bird,quiet,expanded,fast,0,0.25
bird,quiet,expanded,fast,1,0.25
bird,quiet,expanded,fast,2,0.25
bird,quiet,expanded,fast,3,0.125
bird,quiet,expanded,fast,4,0.125
bird,quiet,expanded,general,0,0.333333333333333
bird,quiet,expanded,general,1,0.133333333333333
bird,quiet,expanded,general,2,0.266666666666667
bird,quiet,expanded,general,3,0.2
bird,quiet,expanded,general,4,0.0666666666666667
bird,quiet,expanded,small,0,0.142857142857143
bird,quiet,expanded,small,1,0.285714285714286
bird,quiet,expanded,small,2,0.142857142857143
