date,workerid,amount
Mon Feb 08 14:22:01 PST 2016,ASFR82SJYMGNU,0.5
Mon Feb 08 14:23:13 PST 2016,A6ZAKE3FP8YKY,0.5
Mon Feb 08 14:23:22 PST 2016,A2BZJAUH0XPO54,0.5
Mon Feb 08 14:24:13 PST 2016,A2IUT0610X9CV0,0.5
Mon Feb 08 14:25:40 PST 2016,A1FBO95OVBYOH1,0.5
Mon Feb 08 14:28:24 PST 2016,A2O5OJXCUFQ3FV,0.5
Mon Feb 08 14:31:57 PST 2016,A1S6C6EN8MPKC3,0.5
Mon Feb 08 14:47:07 PST 2016,A361EVMLK9O0G1,0.5
Mon Feb 08 14:59:42 PST 2016,AKHH4W14A6AN9,0.5
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
