animal,feature,Freq.0,Freq.1,Freq.2,Freq.3,Freq.4
ant,agile,0.2,0.2,0.2,0.24,0.16
ant,busy,0.04,0.04,0.04,0.32,0.56
ant,fast,0.12,0.32,0.24,0.2,0.12
ant,funny,0.56,0.2,0.12,0.08,0.04
ant,industrious,0.08,0.16,0.16,0.2,0.4
ant,quiet,0.04,0.08,0.12,0.16,0.6
ant,sleek,0.2,0.2,0.16,0.2,0.24
ant,small,0.08,0.08,0.04,0.12,0.68
ant,smart,0.2,0.2,0.24,0.16,0.2
armadillo,big,0.411764705882353,0.294117647058824,0.117647058823529,0.0588235294117647,0.117647058823529
armadillo,hard,0.117647058823529,0.117647058823529,0.0588235294117647,0.352941176470588,0.352941176470588
armadillo,majestic,0.352941176470588,0.294117647058824,0.176470588235294,0.117647058823529,0.0588235294117647
armadillo,slow,0.117647058823529,0.0588235294117647,0.352941176470588,0.235294117647059,0.235294117647059
armadillo,strong,0.294117647058824,0.176470588235294,0.235294117647059,0.176470588235294,0.117647058823529
bear,big,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.526315789473684,0.315789473684211
bear,fast,0.0526315789473684,0.0526315789473684,0.210526315789474,0.473684210526316,0.210526315789474
bear,fierce,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.421052631578947,0.421052631578947
bear,hairy,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.315789473684211,0.526315789473684
bear,hard,0.210526315789474,0.315789473684211,0.210526315789474,0.210526315789474,0.0526315789473684
bear,lazy,0.157894736842105,0.315789473684211,0.210526315789474,0.210526315789474,0.105263157894737
bear,slow,0.315789473684211,0.368421052631579,0.210526315789474,0.0526315789473684,0.0526315789473684
bear,striped,0.736842105263158,0.105263157894737,0.0526315789473684,0.0526315789473684,0.0526315789473684
bear,strong,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.368421052631579,0.473684210526316
beaver,busy,0.0714285714285714,0.0714285714285714,0.285714285714286,0.214285714285714,0.357142857142857
beaver,funny,0.285714285714286,0.285714285714286,0.285714285714286,0.0714285714285714,0.0714285714285714
beaver,industrious,0.0714285714285714,0.0714285714285714,0.214285714285714,0.285714285714286,0.357142857142857
beaver,quiet,0.142857142857143,0.142857142857143,0.357142857142857,0.285714285714286,0.0714285714285714
beaver,small,0.0714285714285714,0.214285714285714,0.357142857142857,0.285714285714286,0.0714285714285714
beaver,smart,0.0714285714285714,0.214285714285714,0.0714285714285714,0.5,0.142857142857143
bird,agile,0.0625,0.0625,0.125,0.5625,0.1875
bird,fast,0.0625,0.0625,0.125,0.5,0.25
bird,industrious,0.0625,0.3125,0.25,0.25,0.125
bird,quiet,0.1875,0.1875,0.5,0.0625,0.0625
bird,sleek,0.0625,0.0625,0.25,0.3125,0.3125
bird,small,0.1875,0.0625,0.0625,0.375,0.3125
cat,agile,0.0416666666666667,0.0416666666666667,0.125,0.333333333333333,0.458333333333333
cat,big,0.25,0.458333333333333,0.125,0.125,0.0416666666666667
cat,cute,0.0416666666666667,0.0416666666666667,0.208333333333333,0.416666666666667,0.291666666666667
cat,dumb,0.291666666666667,0.375,0.0833333333333333,0.208333333333333,0.0416666666666667
cat,fast,0.0416666666666667,0.0416666666666667,0.25,0.458333333333333,0.208333333333333
cat,friendly,0.0416666666666667,0.125,0.541666666666667,0.208333333333333,0.0833333333333333
cat,funny,0.208333333333333,0.208333333333333,0.208333333333333,0.25,0.125
cat,happy,0.0833333333333333,0.0833333333333333,0.416666666666667,0.291666666666667,0.125
cat,hard,0.625,0.25,0.0416666666666667,0.0416666666666667,0.0416666666666667
cat,lazy,0.0833333333333333,0.166666666666667,0.208333333333333,0.291666666666667,0.25
cat,loud,0.208333333333333,0.458333333333333,0.208333333333333,0.0833333333333333,0.0416666666666667
cat,loyal,0.25,0.208333333333333,0.375,0.0833333333333333,0.0833333333333333
cat,majestic,0.208333333333333,0.333333333333333,0.25,0.125,0.0833333333333333
cat,playful,0.0416666666666667,0.0833333333333333,0.416666666666667,0.25,0.208333333333333
cat,sleek,0.0416666666666667,0.25,0.208333333333333,0.375,0.125
cat,smart,0.0416666666666667,0.208333333333333,0.333333333333333,0.291666666666667,0.125
cheetah,agile,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.217391304347826,0.608695652173913
cheetah,cute,0.0869565217391304,0.304347826086957,0.347826086956522,0.217391304347826,0.0434782608695652
cheetah,dumb,0.434782608695652,0.260869565217391,0.173913043478261,0.0869565217391304,0.0434782608695652
cheetah,fast,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.739130434782609
