featureID,feature,animal,Freq.0,Freq.1,Freq.2
1,small,ant,0.111111111111111,0.0555555555555556,0.833333333333333
1,small,beaver,0.0555555555555556,0.277777777777778,0.666666666666667
1,small,bee,0.0555555555555556,0.0555555555555556,0.888888888888889
1,small,bird,0.111111111111111,0.0555555555555556,0.833333333333333
1,small,cat,0.0555555555555556,0.166666666666667,0.777777777777778
1,small,cheetah,0.277777777777778,0.555555555555556,0.166666666666667
1,small,cow,0.555555555555556,0.388888888888889,0.0555555555555556
1,small,deer,0.166666666666667,0.611111111111111,0.222222222222222
1,small,dog,0.0555555555555556,0.5,0.444444444444444
1,small,dolphin,0.277777777777778,0.611111111111111,0.111111111111111
1,small,donkey,0.166666666666667,0.666666666666667,0.166666666666667
1,small,hippo,0.833333333333333,0.111111111111111,0.0555555555555556
1,small,hyena,0.222222222222222,0.611111111111111,0.166666666666667
1,small,jaguar,0.277777777777778,0.611111111111111,0.111111111111111
1,small,lion,0.388888888888889,0.5,0.111111111111111
1,small,man,0.222222222222222,0.611111111111111,0.166666666666667
1,small,monkey,0.0555555555555556,0.666666666666667,0.277777777777778
1,small,mouse,0.0555555555555556,0.0555555555555556,0.888888888888889
1,small,mule,0.277777777777778,0.5,0.222222222222222
1,small,pig,0.222222222222222,0.388888888888889,0.388888888888889
1,small,turtle,0.111111111111111,0.222222222222222,0.666666666666667
10,tall,giraffe,0.0434782608695652,0.130434782608696,0.826086956521739
10,tall,horse,0.217391304347826,0.347826086956522,0.434782608695652
10,tall,man,0.304347826086957,0.608695652173913,0.0869565217391304
10,tall,sloth,0.826086956521739,0.130434782608696,0.0434782608695652
10,tall,snake,0.91304347826087,0.0434782608695652,0.0434782608695652
11,long,cat,0.823529411764706,0.117647058823529,0.0588235294117647
11,long,cheetah,0.352941176470588,0.588235294117647,0.0588235294117647
11,long,cougar,0.411764705882353,0.470588235294118,0.117647058823529
11,long,dolphin,0.352941176470588,0.588235294117647,0.0588235294117647
11,long,eel,0.411764705882353,0.294117647058824,0.294117647058824
11,long,fish,0.823529411764706,0.117647058823529,0.0588235294117647
11,long,giraffe,0.0588235294117647,0.294117647058824,0.647058823529412
11,long,horse,0.470588235294118,0.352941176470588,0.176470588235294
11,long,jaguar,0.294117647058824,0.588235294117647,0.117647058823529
11,long,man,0.470588235294118,0.411764705882353,0.117647058823529
11,long,sloth,0.705882352941177,0.235294117647059,0.0588235294117647
11,long,snake,0.176470588235294,0.411764705882353,0.411764705882353
12,agile,ant,0.625,0.25,0.125
12,agile,bear,0.625,0.25,0.125
12,agile,beaver,0.625,0.25,0.125
12,agile,bee,0.25,0.375,0.375
12,agile,bird,0.1875,0.5,0.3125
12,agile,cat,0.1875,0.4375,0.375
12,agile,cheetah,0.0625,0.3125,0.625
12,agile,cougar,0.0625,0.3125,0.625
12,agile,cow,0.8125,0.125,0.0625
12,agile,deer,0.1875,0.4375,0.375
12,agile,dog,0.125,0.625,0.25
12,agile,dolphin,0.125,0.4375,0.4375
12,agile,donkey,0.5625,0.3125,0.125
12,agile,eel,0.25,0.375,0.375
12,agile,elephant,0.8125,0.125,0.0625
12,agile,fish,0.25,0.4375,0.3125
12,agile,gorilla,0.3125,0.4375,0.25
12,agile,hippo,0.75,0.1875,0.0625
12,agile,horse,0.25,0.625,0.125
12,agile,jaguar,0.1875,0.1875,0.625
12,agile,kitten,0.375,0.25,0.375
12,agile,man,0.1875,0.5625,0.25
12,agile,monkey,0.0625,0.5625,0.375
12,agile,mouse,0.1875,0.625,0.1875
12,agile,mule,0.5625,0.375,0.0625
12,agile,pig,0.75,0.1875,0.0625
12,agile,rabbit,0.125,0.5,0.375
12,agile,snake,0.375,0.3125,0.3125
12,agile,tiger,0.125,0.375,0.5
12,agile,turtle,0.8125,0.125,0.0625
12,agile,zebra,0.25,0.4375,0.3125
13,slow,armadillo,0.210526315789474,0.210526315789474,0.578947368421053
13,slow,bear,0.315789473684211,0.631578947368421,0.0526315789473684
13,slow,bird,0.631578947368421,0.263157894736842,0.105263157894737
13,slow,cat,0.526315789473684,0.368421052631579,0.105263157894737
13,slow,cheetah,0.894736842105263,0.0526315789473684,0.0526315789473684
13,slow,cow,0.105263157894737,0.210526315789474,0.684210526315789
13,slow,deer,0.631578947368421,0.210526315789474,0.157894736842105
13,slow,dog,0.526315789473684,0.421052631578947,0.0526315789473684
13,slow,donkey,0.105263157894737,0.473684210526316,0.421052631578947
13,slow,elephant,0.0526315789473684,0.421052631578947,0.526315789473684
13,slow,giraffe,0.157894736842105,0.578947368421053,0.263157894736842
13,slow,gorilla,0.263157894736842,0.578947368421053,0.157894736842105
13,slow,hippo,0.157894736842105,0.421052631578947,0.421052631578947
13,slow,horse,0.684210526315789,0.210526315789474,0.105263157894737
13,slow,jaguar,0.842105263157895,0.105263157894737,0.0526315789473684
13,slow,kitten,0.368421052631579,0.263157894736842,0.368421052631579
13,slow,man,0.421052631578947,0.368421052631579,0.210526315789474
13,slow,mouse,0.421052631578947,0.421052631578947,0.157894736842105
13,slow,mule,0.105263157894737,0.473684210526316,0.421052631578947
13,slow,pig,0.105263157894737,0.368421052631579,0.526315789473684
13,slow,sloth,0.0526315789473684,0.105263157894737,0.842105263157895
13,slow,snake,0.473684210526316,0.368421052631579,0.157894736842105
13,slow,turtle,0.105263157894737,0.0526315789473684,0.842105263157895
13,slow,whale,0.368421052631579,0.210526315789474,0.421052631578947
14,strong,armadillo,0.722222222222222,0.111111111111111,0.166666666666667
14,strong,bear,0.0555555555555556,0.277777777777778,0.666666666666667
14,strong,bird,0.777777777777778,0.166666666666667,0.0555555555555556
14,strong,cat,0.722222222222222,0.222222222222222,0.0555555555555556
14,strong,cheetah,0.111111111111111,0.555555555555556,0.333333333333333
14,strong,cougar,0.166666666666667,0.5,0.333333333333333
14,strong,cow,0.222222222222222,0.611111111111111,0.166666666666667
14,strong,deer,0.611111111111111,0.333333333333333,0.0555555555555556
14,strong,dog,0.611111111111111,0.333333333333333,0.0555555555555556
14,strong,dolphin,0.277777777777778,0.5,0.222222222222222
14,strong,donkey,0.333333333333333,0.388888888888889,0.277777777777778
14,strong,eagle,0.555555555555556,0.333333333333333,0.111111111111111
14,strong,eel,0.833333333333333,0.111111111111111,0.0555555555555556
14,strong,elephant,0.111111111111111,0.222222222222222,0.666666666666667
14,strong,fish,0.777777777777778,0.166666666666667,0.0555555555555556
14,strong,giraffe,0.388888888888889,0.277777777777778,0.333333333333333
14,strong,gorilla,0.0555555555555556,0.444444444444444,0.5
14,strong,hippo,0.166666666666667,0.277777777777778,0.555555555555556
14,strong,horse,0.166666666666667,0.444444444444444,0.388888888888889
14,strong,hyena,0.444444444444444,0.333333333333333,0.222222222222222
14,strong,jaguar,0.277777777777778,0.444444444444444,0.277777777777778
14,strong,lion,0.166666666666667,0.388888888888889,0.444444444444444
14,strong,man,0.333333333333333,0.444444444444444,0.222222222222222
14,strong,monkey,0.5,0.333333333333333,0.166666666666667
14,strong,mouse,0.833333333333333,0.111111111111111,0.0555555555555556
14,strong,mule,0.222222222222222,0.444444444444444,0.333333333333333
14,strong,pig,0.666666666666667,0.222222222222222,0.111111111111111
14,strong,sloth,0.777777777777778,0.166666666666667,0.0555555555555556
14,strong,snake,0.722222222222222,0.166666666666667,0.111111111111111
14,strong,tiger,0.111111111111111,0.444444444444444,0.444444444444444
14,strong,turtle,0.833333333333333,0.0555555555555556,0.111111111111111
14,strong,whale,0.111111111111111,0.222222222222222,0.666666666666667
14,strong,zebra,0.388888888888889,0.388888888888889,0.222222222222222
15,fierce,bear,0.0625,0.1875,0.75
15,fierce,bird,0.75,0.1875,0.0625
15,fierce,cat,0.5,0.4375,0.0625
15,fierce,cheetah,0.0625,0.1875,0.75
15,fierce,dog,0.375,0.4375,0.1875
15,fierce,eagle,0.4375,0.25,0.3125
15,fierce,elephant,0.5,0.3125,0.1875
15,fierce,gorilla,0.1875,0.375,0.4375
15,fierce,horse,0.6875,0.25,0.0625
15,fierce,hyena,0.1875,0.4375,0.375
15,fierce,jaguar,0.0625,0.1875,0.75
15,fierce,lion,0.0625,0.1875,0.75
15,fierce,man,0.25,0.375,0.375
15,fierce,monkey,0.5625,0.25,0.1875
15,fierce,tiger,0.0625,0.125,0.8125
15,fierce,whale,0.625,0.25,0.125
15,fierce,zebra,0.75,0.125,0.125
16,quiet,ant,0.08,0.12,0.8
16,quiet,beaver,0.2,0.48,0.32
16,quiet,bird,0.68,0.24,0.08
16,quiet,cat,0.24,0.36,0.4
16,quiet,cheetah,0.28,0.32,0.4
16,quiet,cow,0.48,0.32,0.2
16,quiet,deer,0.16,0.24,0.6
16,quiet,dog,0.6,0.28,0.12
16,quiet,donkey,0.6,0.28,0.12
16,quiet,hippo,0.44,0.28,0.28
16,quiet,jaguar,0.28,0.36,0.36
16,quiet,man,0.8,0.16,0.04
16,quiet,monkey,0.6,0.28,0.12
16,quiet,mouse,0.08,0.24,0.68
16,quiet,mule,0.4,0.36,0.24
16,quiet,pig,0.56,0.24,0.2
16,quiet,turtle,0.08,0.12,0.8
17,busy,ant,0.0434782608695652,0.0869565217391304,0.869565217391304
17,busy,beaver,0.130434782608696,0.304347826086957,0.565217391304348
17,busy,bee,0.0434782608695652,0.130434782608696,0.826086956521739
17,busy,cheetah,0.304347826086957,0.565217391304348,0.130434782608696
17,busy,jaguar,0.391304347826087,0.478260869565217,0.130434782608696
17,busy,man,0.0869565217391304,0.304347826086957,0.608695652173913
17,busy,monkey,0.173913043478261,0.521739130434783,0.304347826086957
17,busy,mouse,0.304347826086957,0.347826086956522,0.347826086956522
18,proud,cat,0.208333333333333,0.333333333333333,0.458333333333333
18,proud,eagle,0.166666666666667,0.166666666666667,0.666666666666667
18,proud,elephant,0.333333333333333,0.291666666666667,0.375
18,proud,horse,0.25,0.291666666666667,0.458333333333333
18,proud,lion,0.125,0.0833333333333333,0.791666666666667
18,proud,man,0.0416666666666667,0.125,0.833333333333333
18,proud,whale,0.375,0.416666666666667,0.208333333333333
19,sleek,ant,0.590909090909091,0.318181818181818,0.0909090909090909
19,sleek,bear,0.409090909090909,0.454545454545455,0.136363636363636
19,sleek,beaver,0.409090909090909,0.454545454545455,0.136363636363636
19,sleek,bee,0.636363636363636,0.227272727272727,0.136363636363636
19,sleek,bird,0.318181818181818,0.409090909090909,0.272727272727273
19,sleek,cat,0.272727272727273,0.409090909090909,0.318181818181818
19,sleek,cheetah,0.272727272727273,0.318181818181818,0.409090909090909
19,sleek,cougar,0.272727272727273,0.318181818181818,0.409090909090909
19,sleek,cow,0.590909090909091,0.318181818181818,0.0909090909090909
19,sleek,deer,0.318181818181818,0.590909090909091,0.0909090909090909
19,sleek,dog,0.318181818181818,0.409090909090909,0.272727272727273
19,sleek,dolphin,0.0909090909090909,0.363636363636364,0.545454545454545
