date,workerid,amount
Tue Sep 01 07:15:24 PDT 2015,A21QMMJHOSG779,0.8
Tue Sep 01 07:15:33 PDT 2015,A2YYQJ3JWA2KGD,0.8
Tue Sep 01 07:15:38 PDT 2015,A36W1S4Z2LSNTC,0.8
Tue Sep 01 07:15:45 PDT 2015,A1WDUICI1FG9F,0.8
Tue Sep 01 07:15:55 PDT 2015,A1HCTAULAAOC8A,0.8
Tue Sep 01 07:16:43 PDT 2015,A187TVQ98O0FN2,0.8
Tue Sep 01 07:16:58 PDT 2015,A2TZJKKUN0LSHY,0.8
Tue Sep 01 07:17:45 PDT 2015,ANVAFB99K5RKP,0.8
Tue Sep 01 07:21:04 PDT 2015,A3W6T1WDYXMR3,0.8
Tue Sep 01 07:21:04 PDT 2015,A1DJDT4B5B19Q2,0.8
Tue Sep 01 07:22:00 PDT 2015,AHSQOWJG4HA3S,0.8
Tue Sep 01 07:27:37 PDT 2015,AKM7BAAH9OPGW,0.8
Tue Sep 01 07:28:50 PDT 2015,A35D31QHYQUF9V,0.8
Tue Sep 01 07:29:49 PDT 2015,A306GWTM2KVPJ0,0.8
Tue Sep 01 07:30:03 PDT 2015,A1FBO95OVBYOH1,0.8
Tue Sep 01 07:30:24 PDT 2015,A1F1BIPJR11LSR,0.8
Tue Sep 01 07:34:16 PDT 2015,A1P3Z24Y6GRNVA,0.8
Tue Sep 01 07:35:26 PDT 2015,A5HICC1DQ2HCV,0.8
Tue Sep 01 07:36:47 PDT 2015,A4TAQBKTB06BG,0.8
Tue Sep 01 08:04:02 PDT 2015,A2U6D0T6GFXZIF,0.8
Wed Sep 02 09:36:35 PDT 2015,AFWKRID53R1XA,0.8
Wed Sep 02 09:41:28 PDT 2015,A3NM5SP9NZ9BOJ,0.8
Wed Sep 02 09:42:33 PDT 2015,A19C6T7B0H4PAQ,0.8
Wed Sep 02 09:43:14 PDT 2015,A3D3NEQ158WUB0,0.8
Wed Sep 02 09:43:52 PDT 2015,A37RHQPON2RJYL,0.8
Wed Sep 02 09:47:43 PDT 2015,A1BPV7X3HFU3S,0.8
Wed Sep 02 09:50:56 PDT 2015,AL4THZQ97441,0.8
Wed Sep 02 09:52:35 PDT 2015,A2DXEPC4QFV4R1,0.8
Wed Sep 02 09:58:04 PDT 2015,A2F79GFUWU5O96,0.8
Wed Sep 02 10:00:00 PDT 2015,A3FJCLBK3HF4PD,0.8
,total paid to workers:,=SUM(c2:c31)
,10% paid to Amazon:,=.1*c32
,total:,=SUM(c32:c33
