workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Female,31,,Yes,3
1,english,2,Male,36,,Yes,3
2,english,2,Male,29,great exxperiment,Yes,3
3,english,1,Female,22,thanks!,Yes,2
4,english,1,Male,21,"fun hit, like to see more like it ",Yes,1
5,English,1,Male,29,,Yes,1
6,English,2,Male,31,,Yes,3
7,English,1,Female,37,,Yes,3
8,English,2,Male,29,,Yes,3
