workerid,language,enjoyment,gender,age,comments,asses,education
0,English,2,Female,33,,Yes,2
1,english,2,Male,31,thanks,Yes,3
2,English,2,Female,25,,Yes,3
3,English,1,Female,67,n,Yes,1
4,English,2,Male,32,n,Yes,3
5,English,2,Male,23,,Yes,3
6,English,2,Male,25,Thanks,Yes,3
7,English,2,Female,35,,Yes,3
8,English,1,Male,28,,Yes,4
