date,workerid,amount
Mon Jan 25 15:00:55 PST 2016,A2P065E9CYMYJL,1.0
Mon Jan 25 15:01:21 PST 2016,AW5FP8MFB3F7X,1.0
Mon Jan 25 15:05:23 PST 2016,A36SM7QM8OK3H6,1.0
Mon Jan 25 15:05:23 PST 2016,ATHS9CW2FLYUY,1.0
Mon Jan 25 15:05:35 PST 2016,A2T893QOA0QILP,1.0
Mon Jan 25 15:06:18 PST 2016,A3EBUBRYCKB6AF,1.0
Mon Jan 25 15:07:16 PST 2016,A90JBLDKW71DX,1.0
Mon Jan 25 15:11:33 PST 2016,A195MOXRMNHRVT,1.0
Mon Jan 25 15:23:03 PST 2016,AMYURTQIMAC8T,1.0
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
