featureID,feature
1,small
2,industrious
3,big
4,majestic
5,fast
6,hard
7,cute
8,funny
9,smart
10,tall
11,long
12,agile
13,slow
14,strong
15,fierce
16,quiet
17,busy
18,proud
19,sleek
20,lazy
21,loyal
22,friendly
23,playful
24,loud
25,happy
26,slithery
27,dumb
28,hairy
29,striped
