date,workerid,amount
Wed May 06 10:48:43 PDT 2015,A2C73Y1COWCA51,0.8
Wed May 06 10:49:06 PDT 2015,AGDJB8B8CDZ71,0.8
Wed May 06 10:49:13 PDT 2015,A1FBO95OVBYOH1,0.8
Wed May 06 10:49:58 PDT 2015,A4J4GGMKJ68L0,0.8
Wed May 06 10:50:19 PDT 2015,AZSAF65XFKDK7,0.8
Wed May 06 10:50:21 PDT 2015,AS4WHZ0EVURW,0.8
Wed May 06 10:51:07 PDT 2015,A2STG331R3P3FK,0.8
Wed May 06 10:51:43 PDT 2015,AZIY6IFOS4CVC,0.8
Wed May 06 10:51:56 PDT 2015,A2MY0C5ZKLE8HI,0.8
Wed May 06 10:52:04 PDT 2015,A1QTQISKEHWSKZ,0.8
Wed May 06 10:52:11 PDT 2015,A3UX9YQOBUOBIM,0.8
Wed May 06 10:53:13 PDT 2015,A2Z11BHUBDVKMB,0.8
Wed May 06 10:55:20 PDT 2015,A3W6T1WDYXMR3,0.8
Wed May 06 10:56:41 PDT 2015,A2MW2KLUNJ5SF8,0.8
Wed May 06 10:56:45 PDT 2015,A195MOXRMNHRVT,0.8
Wed May 06 10:57:31 PDT 2015,A1QIJ8PQO27CJC,0.8
Wed May 06 10:58:34 PDT 2015,AKLV0WIZZ356X,0.8
Wed May 06 11:02:29 PDT 2015,A36SM7QM8OK3H6,0.8
Wed May 06 11:03:41 PDT 2015,A2YO837C0O1E91,0.8
Wed May 06 11:51:39 PDT 2015,AC5UD8N187QD6,0.8
,total paid to workers:,=SUM(c2:c21)
,10% paid to Amazon:,=.1*c22
,total:,=SUM(c22:c23
