animal,1,1,1,0.00001898837752451091
animal,1,1,0,0.000014483899594812664
animal,1,0,1,0.000013195895716645303
animal,1,0,0,0.000009572142846273138
animal,0,1,1,0.00001469541998231948
animal,0,1,0,0.00001182398624225057
animal,0,0,1,0.000009727646914437072
animal,0,0,0,0.000008096566276933695
person,1,1,1,0.15484961594826613
person,1,1,0,0.12069740438282442
person,1,0,1,0.13346089283311663
person,1,0,0,0.10712462753596244
person,0,1,1,0.11772335597189042
person,0,1,0,0.13418376469288604
person,0,0,1,0.11318257128705049
person,0,0,0,0.11867718341290527
