animal,1,1,1,0.0000030740218480793274
animal,1,1,0,6.638084210684138e-7
animal,1,0,1,0.0000016517048942818377
animal,1,0,0,6.235384234405943e-7
animal,0,1,1,0.0000021343677527539497
animal,0,1,0,5.072027439968409e-7
animal,0,0,1,0.0000011127682270640226
animal,0,0,0,4.0065027815026315e-7
person,1,1,1,0.07671173877897951
person,1,1,0,0.11646990381494261
person,1,0,1,0.13036818180559345
person,1,0,0,0.17683065817761306
person,0,1,1,0.09223800840363786
person,0,1,0,0.12786572119619413
person,0,0,1,0.10391764098405541
person,0,0,0,0.17558797877639512
