animal,1,1,1,0.00004033442828690072
animal,1,1,0,0.000019584151914019962
animal,1,0,1,0.000008910394860351785
animal,1,0,0,0.000008930584576531996
animal,0,1,1,0.00001491597124739683
animal,0,1,0,0.000010969413804915692
animal,0,0,1,0.000005405976817958417
animal,0,0,0,0.000005609007776249837
person,1,1,1,0.11787159140394002
person,1,1,0,0.10238160626082349
person,1,0,1,0.16301206717560637
person,1,0,0,0.1437010199141498
person,0,1,1,0.10207716483255944
person,0,1,0,0.08969705478587572
person,0,0,1,0.14212328249146214
person,0,0,0,0.13902155320629864
