animal,1,1,1,0.000004166144659605705
animal,1,1,0,0.0000016726403907052441
animal,1,0,1,0.0000014539847631216166
animal,1,0,0,6.768092284340809e-7
animal,0,1,1,0.0000015204153446720318
animal,0,1,0,7.810802983921802e-7
animal,0,0,1,4.833272980669797e-7
animal,0,0,0,2.1258035938779412e-7
person,1,1,1,0.193313246334118
person,1,1,0,0.15630304640630574
person,1,0,1,0.1321147823627327
person,1,0,0,0.11659949001755408
person,0,1,1,0.14142791936245905
person,0,1,0,0.08407993803434594
person,0,0,1,0.10825247069295939
person,0,0,0,0.06789813980718276
