animal,0,0,0,0.00000781860702157595
animal,0,0,1,0.000010072487824542976
animal,0,1,0,0.000011575203109914934
animal,0,1,1,0.00001489063509496953
animal,1,0,0,0.000009924122400990555
animal,1,0,1,0.000012773300847412132
animal,1,1,0,0.000014671483262236442
animal,1,1,1,0.00001885809554215268
person,0,0,0,0.11008223156990307
person,0,0,1,0.118795072114195
person,0,1,0,0.1230489000467705
person,0,1,1,0.13259775504310425
person,1,0,0,0.1172322722103616
person,1,0,1,0.12639562634896476
person,1,1,0,0.13085501416887282
person,1,1,1,0.1408925445627241
