animal,0,0,0,6.284701706280067e-7
animal,0,0,1,9.759429366963248e-7
animal,0,1,0,0.000004192350027769493
animal,0,1,1,0.00000650057257253628
animal,1,0,0,0.0000054631197659737955
animal,1,0,1,0.000008399326721744413
animal,1,1,0,0.000035266367566848104
animal,1,1,1,0.000054196524182272194
person,0,0,0,0.07666419690920703
person,0,0,1,0.07034724004424601
person,0,1,0,0.07036001216228657
person,0,1,1,0.06446658994792256
person,1,0,0,0.19928419950786283
person,1,0,1,0.1810470016719065
person,1,1,0,0.17699187240102443
person,1,1,1,0.16072326468159956
