date,workerid,amount
Tue Feb 09 10:28:21 PST 2016,AYD2LKV6C5F2S,0.5
Tue Feb 09 10:29:01 PST 2016,A2R794P3E8X0MK,0.5
Tue Feb 09 10:29:23 PST 2016,A2Z96TK65BB7LC,0.5
Tue Feb 09 10:31:48 PST 2016,AEWGY34WUIA32,0.5
Tue Feb 09 10:32:16 PST 2016,AA3R1CNZAEH2O,0.5
Tue Feb 09 10:33:18 PST 2016,A2SWQM5X54P1O5,0.5
Tue Feb 09 10:34:37 PST 2016,AOTCPS24JM5DQ,0.5
Tue Feb 09 10:39:02 PST 2016,A3U5CRG5S8I800,0.5
Tue Feb 09 11:05:09 PST 2016,A2WCXJZEXXR60A,0.5
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
