adjective,freq,animal,eligible
fearsome,2,tiger,
large,20,whale,xxx
huge,15,whale,
big,13,whale,
giant,4,whale,
enormous,3,whale,
massive,3,whale,
black,2,whale,
blue,2,whale,
gigantic,2,whale,
graceful,2,whale,xxx
majestic,2,whale,xxx
scary,11,wolf,xxx
mean,5,wolf,xxx
angry,4,wolf,xxx
dangerous,4,wolf,
hungry,4,wolf,
fast,3,wolf,
fierce,3,wolf,
grey,3,wolf,
howling,3,wolf,
lone,3,wolf,
striped,36,zebra,xxx
stripes,6,zebra,
stripped,6,zebra,
exotic,4,zebra,xxx
fast,4,zebra,xxx
quick,4,zebra,
pretty,3,zebra,
colorful,2,zebra,
unique,2,zebra,
wild,2,zebra,
