adjective,freq,animal,eligible
small,20,ant,xxx
tiny,16,ant,
strong,10,ant,xxx
red,8,ant,
busy,7,ant,xxx
annoying,4,ant,
industrious,4,ant,
black,2,ant,
creepy,2,ant,
little,2,ant,
black,14,bat,
scary,13,bat,xxx
blind,6,bat,xxx
nocturnal,6,bat,xxx
ugly,5,bat,
creepy,3,bat,
flying,3,bat,
cute,2,bat,
dark,2,bat,
eerie,2,bat,
scary,11,bear,xxx
big,9,bear,xxx
brown,9,bear,
fierce,7,bear,xxx
mean,6,bear,
black,5,bear,
furry,4,bear,
strong,4,bear,
ferocious,3,bear,
large,3,bear,
busy,12,bee,xxx
small,5,bee,xxx
yellow,5,bee,
angry,4,bee,xxx
fast,4,bee,
honey,4,bee,
striped,4,bee,
annoying,3,bee,
buzzer,3,bee,
happy,3,bee,
free,5,bird,xxx
graceful,5,bird,xxx
small,5,bird,xxx
fast,4,bird,
feathery,4,bird,
flying,4,bird,
loud,4,bird,
pretty,4,bird,
quick,4,bird,
annoying,3,bird,
big,10,buffalo,xxx
huge,9,buffalo,
large,8,buffalo,
strong,7,buffalo,xxx
wild,5,buffalo,xxx
hairy,4,buffalo,
brown,3,buffalo,
massive,3,buffalo,
extinct,2,buffalo,
lazy,2,buffalo,
independent,5,cat,xxx
lazy,5,cat,xxx
soft,5,cat,xxx
sleepy,4,cat,
clever,3,cat,
cuddly,3,cat,
curious,3,cat,
playful,3,cat,
aloof,2,cat,
finicky,2,cat,
fat,10,cow,xxx
brown,6,cow,
dumb,6,cow,xxx
lazy,6,cow,xxx
large,5,cow,
spotted,5,cow,
mooing,4,cow,
slow,4,cow,
smelly,4,cow,
stupid,4,cow,
loyal,22,dog,xxx
friendly,19,dog,xxx
happy,5,dog,xxx
playful,5,dog,
cute,3,dog,
loving,3,dog,
bark,2,dog,
big,2,dog,
hairy,2,dog,
honest,2,dog,
smart,21,dolphin,xxx
friendly,12,dolphin,xxx
intelligent,8,dolphin,
playful,8,dolphin,xxx
blue,4,dolphin,
sleek,4,dolphin,
beautiful,3,dolphin,
fun,3,dolphin,
fast,2,dolphin,
gray,2,dolphin,
yellow,9,duck,
loud,6,duck,xxx
cute,5,duck,xxx
quacking,5,duck,xxx
small,5,duck,
wet,4,duck,
annoying,3,duck,
white,3,duck,
awkward,2,duck,
delicious,2,duck,
huge,18,elephant,xxx
big,15,elephant,
large,15,elephant,
gray,7,elephant,
grey,4,elephant,
smart,4,elephant,xxx
heavy,3,elephant,xxx
loud,2,elephant,
powerful,2,elephant,
proud,2,elephant,
scaly,9,fish,xxx
wet,7,fish,xxx
smelly,6,fish,xxx
slimy,5,fish,
slippery,5,fish,
fast,4,fish,
small,4,fish,
tasty,3,fish,
agile,2,fish,
cold,2,fish,
sly,38,fox,xxx
red,8,fox,
smart,5,fox,xxx
clever,4,fox,
cunning,3,fox,
pretty,3,fox,xxx
quick,3,fox,
furry,2,fox,
little,2,fox,
orange,2,fox,
green,28,frog,
slimy,16,frog,xxx
noisy,5,frog,xxx
jumpy,4,frog,xxx
loud,3,frog,
small,3,frog,
happy,2,frog,
jumping,2,frog,
leaping,2,frog,
legs,2,frog,
funny,8,goat,xxx
hungry,8,goat,xxx
loud,4,goat,xxx
stubborn,4,goat,
dumb,3,goat,
annoying,2,goat,
billy,2,goat,
hairy,2,goat,
milk,2,goat,
noisy,2,goat,
loud,13,goose,xxx
white,8,goose,
mean,5,goose,xxx
gray,4,goose,
annoying,3,goose,xxx
graceful,3,goose,
long,3,goose,
silly,3,goose,
dirty,2,goose,
feathered,2,goose,
fast,19,horse,xxx
strong,7,horse,xxx
beautiful,6,horse,xxx
big,4,horse,
large,4,horse,
majestic,3,horse,
pretty,3,horse,
tall,3,horse,
galloping,2,horse,
nice,2,horse,
jumpy,7,kangaroo,xxx
bouncy,5,kangaroo,xxx
brown,5,kangaroo,
cute,4,kangaroo,xxx
fast,4,kangaroo,
jumping,4,kangaroo,
motherly,4,kangaroo,
tall,4,kangaroo,
caring,3,kangaroo,
energetic,2,kangaroo,
king,7,lion,
ferocious,5,lion,xxx
scary,5,lion,xxx
strong,5,lion,xxx
fierce,4,lion,
loud,4,lion,
proud,4,lion,
angry,3,lion,
cowardly,3,lion,
majestic,3,lion,
funny,14,monkey,xxx
smart,12,monkey,xxx
playful,10,monkey,xxx
brown,6,monkey,
silly,6,monkey,
crazy,3,monkey,
curious,3,monkey,
loud,3,monkey,
agile,2,monkey,
annoying,2,monkey,
wise,34,owl,xxx
smart,7,owl,
quiet,5,owl,xxx
nocturnal,4,owl,xxx
spooky,3,owl,
cool,2,owl,
creepy,2,owl,
dark,2,owl,
hooter,2,owl,
hooting,2,owl,
strong,40,ox,xxx
big,10,ox,xxx
large,3,ox,
powerful,3,ox,
tough,3,ox,
slow,2,ox,xxx
stubborn,2,ox,
ugly,2,ox,
worker,2,ox,
beastly,1,ox,
cold,19,penguin,xxx
cute,13,penguin,xxx
funny,7,penguin,xxx
silly,4,penguin,
adorable,3,penguin,
friendly,3,penguin,
waddling,3,penguin,
black,2,penguin,
slippery,2,penguin,
small,2,penguin,
dirty,28,pig,xxx
fat,11,pig,xxx
pink,9,pig,
smelly,4,pig,xxx
filthy,3,pig,
messy,3,pig,
bacon,2,pig,
cute,2,pig,
muddy,2,pig,
oinking,2,pig,
fast,17,rabbit,xxx
furry,8,rabbit,xxx
cute,7,rabbit,xxx
white,6,rabbit,
fluffy,5,rabbit,
quick,5,rabbit,
soft,5,rabbit,
jumpy,4,rabbit,
small,3,rabbit,
hairy,2,rabbit,
scary,15,shark,xxx
dangerous,7,shark,xxx
mean,7,shark,xxx
deadly,4,shark,
fierce,4,shark,
hungry,4,shark,
big,3,shark,
fast,3,shark,
killer,3,shark,
sharp,3,shark,
wooly,18,sheep,xxx
fluffy,9,sheep,xxx
soft,8,sheep,
dumb,5,sheep,xxx
white,5,sheep,
black,4,sheep,
warm,4,sheep,
wool,4,sheep,
woolly,4,sheep,
follower,3,sheep,
striped,13,tiger,xxx
fierce,7,tiger,xxx
scary,7,tiger,xxx
ferocious,5,tiger,
stripped,5,tiger,
dangerous,4,tiger,
big,3,tiger,
orange,3,tiger,
beautiful,2,tiger,
