workerid,gender,age,income,categoryID,order,speaker,animal,f1,f2,f3,condition,f1prob,f2prob,f3prob
AKKCFV0GQBWHW,M,35,10,2,1,Zach,bat,scary,blind,nocturnal,4,0.392485189164,0.202189339872,-0.432130157766
AKKCFV0GQBWHW,M,35,10,14,2,Kenneth,fox,sly,smart,cunning,2,1.34396443562,0.0753254403445,1.15366858633
AKKCFV0GQBWHW,M,35,10,18,3,Luke,horse,fast,strong,beautiful,3,1.34396443562,-1.19331355493,-1.19331355493
AKKCFV0GQBWHW,M,35,10,19,4,Bob,kangaroo,jumpy,bouncy,cute,4,1.34396443562,1.34396443562,-1.19331355493
AKKCFV0GQBWHW,M,35,10,4,5,Frank,bee,busy,small,angry,2,0.519349088691,-0.241834308475,0.0753254403445
AKKCFV0GQBWHW,M,35,10,23,6,Patrick,ox,strong,big,slow,1,1.34396443562,-1.19331355493,-1.19331355493
AKKCFV0GQBWHW,M,35,10,9,7,Henry,dog,loyal,friendly,happy,1,1.34396443562,-1.19331355493,-1.19331355493
AKKCFV0GQBWHW,M,35,10,6,8,Ivan,buffalo,big,strong,wild,4,1.34396443562,0.646212988219,-0.49556210753
AKKCFV0GQBWHW,M,35,10,31,9,Ethan,wolf,scary,mean,angry,2,-0.0515384591831,-0.812721856349,-0.49556210753
AKKCFV0GQBWHW,M,35,10,28,10,Tom,sheep,wooly,fluffy,dumb,4,0.265621289636,0.3290532394,0.0753254403445
AKKCFV0GQBWHW,M,35,10,1,11,Barry,ant,small,strong,busy,2,-0.432130157766,-0.812721856349,1.34396443562
AKKCFV0GQBWHW,M,35,10,5,12,Fred,bird,small,graceful,free,1,1.28053248586,-0.368698208002,-0.749289906585
AKKCFV0GQBWHW,M,35,10,21,13,Gary,monkey,funny,smart,playful,2,-0.812721856349,-0.685857956821,0.83650883751
AKKCFV0GQBWHW,M,35,10,8,14,George,cow,fat,lazy,dumb,4,1.34396443562,0.773076887747,0.392485189164
AKKCFV0GQBWHW,M,35,10,27,15,Calvin,shark,scary,mean,dangerous,1,1.34396443562,0.455917138927,-0.432130157766
AKKCFV0GQBWHW,M,35,10,32,16,Alex,zebra,striped,exotic,fast,3,1.34396443562,-1.19331355493,-1.19331355493
AKKCFV0GQBWHW,M,35,10,15,17,Eric,frog,slimy,noisy,jumpy,1,1.34396443562,-1.19331355493,-1.19331355493
AKKCFV0GQBWHW,M,35,10,11,18,Jeff,duck,loud,cute,quacking,1,1.34396443562,-1.19331355493,-1.19331355493
