categoryID,qud,category,f1,f2,f3,prob
1,1,target,1,1,1,0.0004751340513057236
1,1,target,1,1,0,0.00021327397690735562
1,1,target,1,0,1,0.00024300078348420045
1,1,target,1,0,0,0.0002181380289579126
1,1,target,0,1,1,0.00010366558298252154
1,1,target,0,1,0,0.00008364733083907399
1,1,target,0,0,1,0.00009178034791396968
1,1,target,0,0,0,0.00008292459045334608
1,1,gorilla,1,1,1,0.0004942427127074979
1,1,gorilla,1,1,0,0.0002026664701233886
1,1,gorilla,1,0,1,0.00023057563301032117
1,1,gorilla,1,0,0,0.00010746507105273285
1,1,gorilla,0,1,1,0.0001585174778308226
1,1,gorilla,0,1,0,0.00009080929544676723
1,1,gorilla,0,0,1,0.00012382485702887178
1,1,gorilla,0,0,0,0.00005687045756157817
1,1,bee,1,1,1,0.0005612686135740478
1,1,bee,1,1,0,0.00020531669759607513
1,1,bee,1,0,1,0.00015960476410345533
1,1,bee,1,0,0,0.00011678607643481657
1,1,bee,0,1,1,0.00014686824323879608
1,1,bee,0,1,0,0.00011984926317824182
1,1,bee,0,0,1,0.00009488721268948128
1,1,bee,0,0,0,0.00006266627429610859
1,1,person,1,1,1,0.13831582906470238
1,1,person,1,1,0,0.14164205113116654
1,1,person,1,0,1,0.1340175188687981
1,1,person,1,0,0,0.14459231718601187
1,1,person,0,1,1,0.10058724190201103
1,1,person,0,1,0,0.11255281100036292
1,1,person,0,0,1,0.10240392396764642
1,1,person,0,0,0,0.1154187380864001
1,1,hamster,1,1,1,0.0005692773152736296
1,1,hamster,1,1,0,0.00018900450065252147
1,1,hamster,1,0,1,0.0003000501295978474
1,1,hamster,1,0,0,0.00017722554614313756
1,1,hamster,0,1,1,0.00011407152661884437
1,1,hamster,0,1,0,0.000040620668230231695
1,1,hamster,0,0,1,0.0000902470814724953
1,1,hamster,0,0,0,0.00004469837215288084
1,1,ox,1,1,1,0.0005758479033338101
1,1,ox,1,1,0,0.00025276861141726415
1,1,ox,1,0,1,0.0002691646426248966
1,1,ox,1,0,0,0.0001726426611845565
1,1,ox,0,1,1,0.00009453165298574654
1,1,ox,0,1,0,0.000059961701648210064
1,1,ox,0,0,1,0.00007005551882685698
1,1,ox,0,0,0,0.00004261585995390459
1,1,beaver,1,1,1,0.0004937081230288908
1,1,beaver,1,1,0,0.0001668376403939571
1,1,beaver,1,0,1,0.00022175145535904025
1,1,beaver,1,0,0,0.00014522281291262857
1,1,beaver,0,1,1,0.00018979273778299286
1,1,beaver,0,1,0,0.00007700947891325913
1,1,beaver,0,0,1,0.00011642959783601219
1,1,beaver,0,0,0,0.00004982032404930728
1,1,mouse,1,1,1,0.0004140595259827039
1,1,mouse,1,1,0,0.00021558439599812405
1,1,mouse,1,0,1,0.00027971607238224994
1,1,mouse,1,0,0,0.0002146571235614605
1,1,mouse,0,1,1,0.00012665131884916436
1,1,mouse,0,1,0,0.00006975744384581465
1,1,mouse,0,0,1,0.0001181944935863875
1,1,mouse,0,0,0,0.00006380874358425711
2,1,owl,1,1,1,0.0004246290926234151
2,1,owl,1,1,0,0.0001431511090496473
2,1,owl,1,0,1,0.0001764208043049236
2,1,owl,1,0,0,0.00010323090443917847
2,1,owl,0,1,1,0.0004404945735796006
2,1,owl,0,1,0,0.0001934782865484809
2,1,owl,0,0,1,0.00014912122875205804
2,1,owl,0,0,0,0.00006181990318682919
2,1,target,1,1,1,0.0004530057657603582
2,1,target,1,1,0,0.000137905709418776
2,1,target,1,0,1,0.00027522906019525535
2,1,target,1,0,0,0.0001300034880322838
2,1,target,0,1,1,0.000320294094600162
2,1,target,0,1,0,0.00010928650143179333
2,1,target,0,0,1,0.00020269720062068594
2,1,target,0,0,0,0.00010288279723207213
2,1,bear,1,1,1,0.0005056796097812503
2,1,bear,1,1,0,0.00015058453122122924
2,1,bear,1,0,1,0.00031617298903817003
2,1,bear,1,0,0,0.00012372361351102877
2,1,bear,0,1,1,0.0003548496527614972
2,1,bear,0,1,0,0.00011488091608496835
2,1,bear,0,0,1,0.00014601899438522478
2,1,bear,0,0,0,0.000040587911475177225
2,1,person,1,1,1,0.0961299829958457
2,1,person,1,1,0,0.1161114227916362
2,1,person,1,0,1,0.14150455310289672
2,1,person,1,0,0,0.1561241768509547
2,1,person,0,1,1,0.09959510153715478
2,1,person,0,1,0,0.10975022469998848
2,1,person,0,0,1,0.11934443516439652
2,1,person,0,0,0,0.15111880744154535
2,1,snake,1,1,1,0.00032156205816260896
2,1,snake,1,1,0,0.00012886939001913704
2,1,snake,1,0,1,0.0001810553703326844
2,1,snake,1,0,0,0.00015391332316576578
2,1,snake,0,1,1,0.00045001701051587575
2,1,snake,0,1,0,0.00019108935639879863
2,1,snake,0,0,1,0.00020813177944637687
2,1,snake,0,0,0,0.0000487441821474553
2,1,mouse,1,1,1,0.00045696164877918226
2,1,mouse,1,1,0,0.00015397731912677654
2,1,mouse,1,0,1,0.0002678950214546991
2,1,mouse,1,0,0,0.00009669483985718634
2,1,mouse,0,1,1,0.0003701604483502674
2,1,mouse,0,1,0,0.00010764735580372644
2,1,mouse,0,0,1,0.0001870781077981466
2,1,mouse,0,0,0,0.00008848579238049143
2,1,mole,1,1,1,0.00045490701281831396
2,1,mole,1,1,0,0.00016778279706954137
2,1,mole,1,0,1,0.0002523782323718921
2,1,mole,1,0,0,0.00013329628825227947
2,1,mole,0,1,1,0.00033473590114298723
2,1,mole,0,1,0,0.00010465827437749119
2,1,mole,0,0,1,0.00020576717147389393
2,1,mole,0,0,0,0.00007933799630158237
3,1,shark,1,1,1,0.0003538823634492234
3,1,shark,1,1,0,0.00019977578864210653
3,1,shark,1,0,1,0.00016944433681017056
3,1,shark,1,0,0,0.00011257132635691118
3,1,shark,0,1,1,0.00019578712746925745
3,1,shark,0,1,0,0.00013377084510409138
3,1,shark,0,0,1,0.00011035721555750525
3,1,shark,0,0,0,0.00006754942911608113
3,1,target,1,1,1,0.00025417043044931954
3,1,target,1,1,0,0.00016901381426433142
3,1,target,1,0,1,0.00017677119240155722
3,1,target,1,0,0,0.00014933849959392257
3,1,target,0,1,1,0.0001806305296192141
3,1,target,0,1,0,0.00016305665876843988
3,1,target,0,0,1,0.00014044993929796404
3,1,target,0,0,0,0.00014988346851538758
3,1,tiger,1,1,1,0.0002703310502559988
3,1,tiger,1,1,0,0.00019322851782541337
3,1,tiger,1,0,1,0.00016931983700303743
3,1,tiger,1,0,0,0.00014368395382538207
3,1,tiger,0,1,1,0.0001488507593759209
3,1,tiger,0,1,0,0.0001625966847779995
3,1,tiger,0,0,1,0.00013374950899731655
3,1,tiger,0,0,0,0.00015347880603389314
3,1,person,1,1,1,0.10424083859638106
3,1,person,1,1,0,0.11490748521285561
3,1,person,1,0,1,0.10467218691216784
3,1,person,1,0,0,0.10735252870577222
3,1,person,0,1,1,0.12562083621655618
3,1,person,0,1,0,0.14425981385540318
3,1,person,0,0,1,0.13202418346952297
3,1,person,0,0,0,0.1574150537618646
3,1,lion,1,1,1,0.00033741199448799036
3,1,lion,1,1,0,0.00016788098823115034
3,1,lion,1,0,1,0.00021623345347625264
3,1,lion,1,0,0,0.00010844743129585823
3,1,lion,0,1,1,0.00016292495517808677
3,1,lion,0,1,0,0.00013589075648775788
3,1,lion,0,0,1,0.0001056015428823631
3,1,lion,0,0,0,0.00011774933315634327
3,1,snake,1,1,1,0.00029075128993182145
3,1,snake,1,1,0,0.00020160207726272207
3,1,snake,1,0,1,0.00018953401018425496
3,1,snake,1,0,0,0.00014802391473919748
3,1,snake,0,1,1,0.00017667926636778152
3,1,snake,0,1,0,0.00013343686145342117
3,1,snake,0,0,1,0.00012769404802514007
3,1,snake,0,0,0,0.00008812460417826816
3,1,elephant,1,1,1,0.0003140461832735009
3,1,elephant,1,1,0,0.00018589966797148965
3,1,elephant,1,0,1,0.00019805277665479134
3,1,elephant,1,0,0,0.0001347562715740625
3,1,elephant,0,1,1,0.00015628900388925762
3,1,elephant,0,1,0,0.00013883639400695674
3,1,elephant,0,0,1,0.00012457979837310218
3,1,elephant,0,0,0,0.00010189326031086036
3,1,whale,1,1,1,0.000350004654775718
3,1,whale,1,1,0,0.0002146566181317172
3,1,whale,1,0,1,0.0001484920298268433
3,1,whale,1,0,0,0.000129465357672239
3,1,whale,0,1,1,0.00017169744200955898
3,1,whale,0,1,0,0.00015938216904282576
3,1,whale,0,0,1,0.00009026751171365908
3,1,whale,0,0,0,0.00007907551940135729
4,1,target,1,1,1,0.00024763012219920273
4,1,target,1,1,0,0.0002622363889970116
4,1,target,1,0,1,0.0001515792924894074
4,1,target,1,0,0,0.00016654580185470713
4,1,target,0,1,1,0.00016489241899544718
4,1,target,0,1,0,0.00018691024330206666
4,1,target,0,0,1,0.00011203128170113254
4,1,target,0,0,0,0.0001210306032751945
4,1,ant,1,1,1,0.00027904072518292097
4,1,ant,1,1,0,0.000283898010968321
4,1,ant,1,0,1,0.00012787868471062747
