small,large,ant,3
strong,weak,ant,2
busy,idle,ant,1
scary,unalarming,bat,3
blind,sighted,bat,2
nocturnal,diurnal,bat,1
scary,unalarming,bear,3
big,small,bear,2
fierce,nonviolent,bear,1
busy,idle,bee,3
small,large,bee,2
angry,unangry,bee,1
free,unfree,bird,3
graceful,awkward,bird,2
small,large,bird,1
big,small,buffalo,3
strong,weak,buffalo,2
wild,tame,buffalo,1
independent,dependent,cat,3
lazy,fast,cat,2
soft,hard,cat,1
fat,thin,cow,3
dumb,smart,cow,2
lazy,fast,cow,1
loyal,disloyal,dog,3
friendly,unfriendly,dog,2
happy,unhappy,dog,1
smart,stupid,dolphin,3
friendly,unfriendly,dolphin,2
playful,unplayful,dolphin,1
loud,quiet,duck,3
cute,unattractive,duck,2
quacking,non-quacking,duck,1
huge,small,elephant,3
smart,stupid,elephant,2
heavy,light,elephant,1
scaly,smooth,fish,3
wet,dry,fish,2
smelly,fragrant,fish,1
sly,artless,fox,3
smart,stupid,fox,2
pretty,ugly,fox,1
slimy,nonslippery,frog,3
noisy,quiet,frog,2
jumpy,relaxed,frog,1
funny,humorless,goat,3
hungry,full,goat,2
loud,quiet,goat,1
loud,quiet,goose,3
mean,nice,goose,2
annoying,agreeable,goose,1
fast,slow,horse,3
strong,weak,horse,2
beautiful,ugly,horse,1
jumpy,relaxed,kangaroo,3
bouncy,inelastic,kangaroo,2
cute,unattractive,kangaroo,1
ferocious,nonviolent,lion,3
scary,unalarming,lion,2
strong,weak,lion,1
funny,humorless,monkey,3
smart,stupid,monkey,2
playful,unplayful,monkey,1
wise,foolish,owl,3
quiet,loud,owl,2
nocturnal,diurnal,owl,1
strong,weak,ox,3
big,small,ox,2
slow,fast,ox,1
cold,hot,penguin,3
cute,unattractive,penguin,2
funny,humorless,penguin,1
dirty,clean,pig,3
fat,thin,pig,2
smelly,fragrant,pig,1
fast,slow,rabbit,3
furry,hairless,rabbit,2
cute,unattractive,rabbit,1
scary,unalarming,shark,3
dangerous,safe,shark,2
mean,nice,shark,1
wooly,hairless,sheep,3
fluffy,hard,sheep,2
dumb,smart,sheep,1
striped,unpatterned,tiger,3
fierce,nonviolent,tiger,2
scary,unalarming,tiger,1
large,small,whale,3
graceful,awkward,whale,2
majestic,inferior,whale,1
scary,unalarming,wolf,3
mean,nice,wolf,2
angry,unangry,wolf,1
striped,unpatterned,zebra,3
exotic,native,zebra,2
fast,slow,zebra,1
