"","dimension","literal","polarity","person","bin","group","N","prob","sd","se","ci"
"1","height","fig","high","man","0","high,fig",6,0.0401278155040467,0.0572126281057509,0.0233569576171176,0.0600409709862896
"2","height","fig","high","man","0.5","high,fig",6,0.0444843833612833,0.0595530163168493,0.0243124171033203,0.0624970577862087
"3","height","fig","high","man","4","high,fig",6,0.04834279426925,0.0605368736945543,0.0247140751958286,0.063529552782947
"4","height","fig","high","man","4.5","high,fig",6,0.0418212889976667,0.0501529915156013,0.0204748730478929,0.0526323367438729
"5","height","fig","high","man","5","high,fig",6,0.0561091001297167,0.061266034412068,0.025011753812227,0.064294760027118
"6","height","fig","high","man","5.5","high,fig",6,0.1128593150483,0.100740540152424,0.0411271532976332,0.105720713218326
"7","height","fig","high","man","6","high,fig",6,0.233202975421633,0.10542738134451,0.0430405482019779,0.110639251403834
"8","height","fig","high","man","6.5","high,fig",6,0.295517007288833,0.185890814056472,0.0758896070514904,0.195080445400139
"9","height","fig","high","man","7","high,fig",6,0.109900736279867,0.116403387877383,0.0475214841051437,0.122157863843162
"10","height","fig","high","man","15","high,fig",6,0.01763458369963,0.0359867782062231,0.0146915406819928,0.0377658076146426
"11","height","fig","high","woman","0","high,fig",11,0.0192912373511073,0.0408122223179977,0.0123053480263061,0.0274180240246253
"12","height","fig","high","woman","0.5","high,fig",11,0.0172285666596645,0.0179285041542742,0.00540564739382322,0.0120445329783159
"13","height","fig","high","woman","4","high,fig",11,0.0276101892124409,0.0244007407209518,0.00735710014346756,0.0163926406676139
"14","height","fig","high","woman","4.5","high,fig",11,0.0380451546925336,0.0459816873193544,0.0138640003696129,0.0308909178674865
"15","height","fig","high","woman","5","high,fig",11,0.0936638367476418,0.113145275711304,0.0341145842123372,0.0760120305028661
"16","height","fig","high","woman","5.5","high,fig",11,0.2607639279001,0.171404988503712,0.0516805485510902,0.115151438118647
"17","height","fig","high","woman","6","high,fig",11,0.264502352662355,0.142018887496514,0.0428203057245121,0.0954095868387156
"18","height","fig","high","woman","6.5","high,fig",11,0.154706821180848,0.100666159939008,0.0303519892366905,0.0676284464533392
"19","height","fig","high","woman","7","high,fig",11,0.0868039665147973,0.0931373966131806,0.0280819816833125,0.0625705544293556
"20","height","fig","high","woman","15","high,fig",11,0.0373839470787927,0.0653813384816388,0.0197132152758928,0.0439237808537861
"21","height","fig","low","man","0","low,fig",12,0.0661528427164083,0.105658512296631,0.0305009852583177,0.0671322159217312
"22","height","fig","low","man","0.5","low,fig",12,0.118536689421775,0.14360315430289,0.0414546598966265,0.0912410912491209
"23","height","fig","low","man","4","low,fig",12,0.117672596428642,0.0933259070471366,0.0269408687780151,0.0592964523803875
"24","height","fig","low","man","4.5","low,fig",12,0.176161759560692,0.115088553155846,0.033223203572586,0.0731237780339653
"25","height","fig","low","man","5","low,fig",12,0.256189285591512,0.17762263245694,0.0512752373315921,0.112856036447011
"26","height","fig","low","man","5.5","low,fig",12,0.180482108389963,0.164825961549543,0.0475811566350339,0.104725419653705
"27","height","fig","low","man","6","low,fig",12,0.031517375972975,0.0313746499299822,0.00905708129140274,0.019934501516121
"28","height","fig","low","man","6.5","low,fig",12,0.0220988569898433,0.0450310157273599,0.0129993345260368,0.0286113423828738
"29","height","fig","low","man","7","low,fig",12,0.0104879093623692,0.0130974824287716,0.00378091750297883,0.00832174331558713
"30","height","fig","low","man","15","low,fig",12,0.020700575566155,0.044172634421716,0.0127515411870963,0.0280659529210963
"31","height","fig","low","woman","0","low,fig",11,0.0672893126615518,0.0855678451469629,0.0257996760428827,0.0574852605598063
"32","height","fig","low","woman","0.5","low,fig",11,0.0705089099334636,0.0612919484989005,0.0184802178036945,0.0411764912815802
"33","height","fig","low","woman","4","low,fig",11,0.133424262487264,0.0898773678352861,0.0270990460231274,0.0603804372958942
"34","height","fig","low","woman","4.5","low,fig",11,0.276659715374264,0.152936437761941,0.0461120709845364,0.102744096906195
"35","height","fig","low","woman","5","low,fig",11,0.232014294598509,0.138043071652443,0.0416215521435726,0.0927385974110667
"36","height","fig","low","woman","5.5","low,fig",11,0.109475286829196,0.0926994058215014,0.0279499224908007,0.0622763082117579
"37","height","fig","low","woman","6","low,fig",11,0.0315152121591382,0.0308944564963625,0.0093150291182175,0.0207551782856838
"38","height","fig","low","woman","6.5","low,fig",11,0.0324295187114655,0.0503655716877917,0.0151857912400138,0.0338360514600276
"39","height","fig","low","woman","7","low,fig",11,0.0280734034444945,0.0508548897665628,0.0153333261918703,0.034164779818285
"40","height","fig","low","woman","15","low,fig",11,0.0186100838004509,0.0284877546259585,0.00858938120127415,0.0191383339690795
"41","height","lit","high","man","0","high,lit",14,0.02068040816886,0.0370335675658156,0.00989763726008755,0.0213825453097314
"42","height","lit","high","man","0.5","high,lit",14,0.0264617234511193,0.0453114566714227,0.0121099961828654,0.0261620561833466
"43","height","lit","high","man","4","high,lit",14,0.0231429135241929,0.0339773217380294,0.00908082120456376,0.0196179215052822
"44","height","lit","high","man","4.5","high,lit",14,0.0274948622803207,0.0369461500638092,0.00987427394993644,0.0213320719467697
"45","height","lit","high","man","5","high,lit",14,0.0416962968539221,0.0707682941290078,0.0189136221769424,0.0408603965312458
"46","height","lit","high","man","5.5","high,lit",14,0.145361929378793,0.0988996728428689,0.0264320493887176,0.057102971025462
"47","height","lit","high","man","6","high,lit",14,0.367376978397,0.180247010469198,0.0481730398689997,0.104071525419519
"48","height","lit","high","man","6.5","high,lit",14,0.231722058088836,0.0966539858436734,0.025831864292366,0.055806349955228
"49","height","lit","high","man","7","high,lit",14,0.0909322978093193,0.0795345996131149,0.0212565158676085,0.0459219106259855
"50","height","lit","high","man","15","high,lit",14,0.0251305320478386,0.0355280458018084,0.0094952696437128,0.0205132829229398
"51","height","lit","high","woman","0","high,lit",9,0.0321462583074211,0.0459691403330542,0.0153230467776847,0.0353350092332679
"52","height","lit","high","woman","0.5","high,lit",9,0.0418607796762556,0.0584544339900852,0.0194848113300284,0.0449320555007185
"53","height","lit","high","woman","4","high,lit",9,0.0413590260402311,0.0495201802106898,0.0165067267368966,0.0380645801139687
"54","height","lit","high","woman","4.5","high,lit",9,0.0337044428162767,0.0457516429736278,0.0152505476578759,0.0351678259631901
"55","height","lit","high","woman","5","high,lit",9,0.0998664453126556,0.0476211209387304,0.0158737069795768,0.0366048339359234
"56","height","lit","high","woman","5.5","high,lit",9,0.265039388592644,0.160938287462125,0.0536460958207082,0.123708118800112
"57","height","lit","high","woman","6","high,lit",9,0.270978439883211,0.115208352797927,0.0384027842659758,0.0885569793206936
"58","height","lit","high","woman","6.5","high,lit",9,0.124644755593222,0.0798075707365422,0.0266025235788474,0.0613455293796884
"59","height","lit","high","woman","7","high,lit",9,0.05005046686905,0.0678206683126089,0.0226068894375363,0.0521315805270621
"60","height","lit","high","woman","15","high,lit",9,0.0403499969088678,0.0747946969653608,0.0249315656551203,0.0574922934978215
"61","height","lit","low","man","0","low,lit",12,0.0119271372499725,0.0228746820671542,0.00660335192454929,0.0145338795927956
"62","height","lit","low","man","0.5","low,lit",12,0.09182132766441,0.102757501961199,0.0296635357092758,0.0652890018919645
"63","height","lit","low","man","4","low,lit",12,0.13965146405525,0.0919046563778501,0.0265305890497659,0.0583934327870245
"64","height","lit","low","man","4.5","low,lit",12,0.176670303422608,0.0793822314010215,0.0229156763341265,0.0504370635448755
"65","height","lit","low","man","5","low,lit",12,0.308867247387917,0.148161714037595,0.042770602741601,0.0941374619224385
"66","height","lit","low","man","5.5","low,lit",12,0.185851383075992,0.132271780483829,0.0381835740342649,0.0840414798086774
"67","height","lit","low","man","6","low,lit",12,0.0342732382536367,0.0445224164274422,0.0128525145546782,0.0282881938047085
"68","height","lit","low","man","6.5","low,lit",12,0.0235489419576325,0.0335452574028646,0.00968368169578959,0.0213136397074839
"69","height","lit","low","man","7","low,lit",12,0.018051546707455,0.02940056748486,0.00848721277585584,0.0186802293701989
"70","height","lit","low","man","15","low,lit",12,0.00933741022479167,0.0157755380210304,0.00455400556152654,0.0100232986598947
"71","height","lit","low","woman","0","low,lit",5,0.05888830755276,0.0789829313334187,0.0353222407047445,0.0980702623093061
"72","height","lit","low","woman","0.5","low,lit",5,0.07232331365702,0.0591244948122084,0.0264412779070863,0.0734127566203043
"73","height","lit","low","woman","4","low,lit",5,0.14775206065056,0.0843852079226288,0.0377382122420903,0.104778074658467
"74","height","lit","low","woman","4.5","low,lit",5,0.305308826491,0.187780589194872,0.0839780324589391,0.233160397164763
"75","height","lit","low","woman","5","low,lit",5,0.18046551563026,0.11017796960048,0.0492730859299159,0.136804018248105
"76","height","lit","low","woman","5.5","low,lit",5,0.07822996141834,0.0676436150272107,0.0302511442889339,0.0839906414876427
"77","height","lit","low","woman","6","low,lit",5,0.04383110703662,0.0524065750528178,0.0234369328572091,0.0650713575122474
"78","height","lit","low","woman","6.5","low,lit",5,0.03599122895854,0.0492336846677789,0.0220179731399885,0.0611316937508977
"79","height","lit","low","woman","7","low,lit",5,0.047231580738252,0.066303070254017,0.0296516344409853,0.0823261353047878
"80","height","lit","low","woman","15","low,lit",5,0.0299780978669,0.0403890588489527,0.0180625362266995,0.0501496402940778
"81","speed","fig","high","man","0","high,fig",6,0.0315851854460467,0.0553466125223679,0.0225951599452225,0.0580827077284862
"82","speed","fig","high","man","1","high,fig",6,0.0498666850848833,0.0521938254488536,0.0213080400122638,0.054774060608537
"83","speed","fig","high","man","5","high,fig",6,0.111005629128058,0.0829467699058061,0.0338628770135448,0.0870472965534046
"84","speed","fig","high","man","10","high,fig",6,0.153547597271017,0.116478801088422,0.0475522714196288,0.122237005154545
"85","speed","fig","high","man","12","high,fig",6,0.159101775370967,0.0606682005869596,0.024767689175145,0.0636673719043138
"86","speed","fig","high","man","14","high,fig",6,0.161727849845167,0.054074019382406,0.0220756259713771,0.0567472031323231
"87","speed","fig","high","man","16","high,fig",6,0.131962059989233,0.0675003191838237,0.0275568899125611,0.0708372406558592
"88","speed","fig","high","man","18","high,fig",6,0.10768398180595,0.0984492414188044,0.0401917345066911,0.103316142665617
"89","speed","fig","high","man","20","high,fig",6,0.0549700762899,0.0829557854965612,0.033866557613058,0.0870567578356577
"90","speed","fig","high","man","60","high,fig",6,0.0385491597692217,0.0884459286537278,0.0361078991713732,0.0928183097329193
"91","speed","fig","high","woman","0","high,fig",6,0.0812851350349167,0.060182202990667,0.024569281487289,0.0631573487058606
"92","speed","fig","high","woman","1","high,fig",6,0.0822907086194583,0.0629469041996375,0.0256979660294946,0.0660587246882178
"93","speed","fig","high","woman","5","high,fig",6,0.0760474201088,0.056805234459485,0.0231906398574837,0.059613437574431
"94","speed","fig","high","woman","10","high,fig",6,0.0938408652316583,0.0540463245056098,0.0220643195852704,0.0567181391415706
"95","speed","fig","high","woman","12","high,fig",6,0.150271026537317,0.0988125281408604,0.0403400456899186,0.103697388699244
"96","speed","fig","high","woman","14","high,fig",6,0.158653432804767,0.0853260015187574,0.0348341942521497,0.0895441470036028
"97","speed","fig","high","woman","16","high,fig",6,0.1744332714553,0.130376729771103,0.053226077045322,0.136821986834884
"98","speed","fig","high","woman","18","high,fig",6,0.0902951999262833,0.0512875997931913,0.0209380749375651,0.0538230351076968
