workerID,gender,age,income,language,order,item,dimension,literal,quality,speaker,person,bin,bin_num,prob
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,0-10,0,0.0
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,10-100,1,0.284722222222
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,100-120,2,0.284722222222
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,120-140,3,0.222222222222
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,140-160,4,0.142361111111
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,160-180,5,0.0381944444444
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,180-200,6,0.0277777777778
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,200-220,7,0.0
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,220-10000,8,0.0
0,M,25,4,English,1,bird,weight,fig,light,woman,woman,>10000,9,0.0
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,0-1,0,0.0
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,1-4,1,0.0406091370558
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,4-4.5,2,0.0812182741117
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,4.5-5,3,0.294416243655
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,5-5.5,4,0.335025380711
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,5.5-6,5,0.152284263959
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,6-6.5,6,0.0609137055838
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,6.5-7,7,0.0355329949239
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,7-15,8,0.0
0,M,25,4,English,2,penguin,height,fig,short,woman,woman,>15,9,0.0
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,0-1,0,0.0
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,1-5,1,0.0
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,5-6,2,0.0
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,6-7,3,0.0392156862745
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,7-8,4,0.127450980392
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,8-9,5,0.196078431373
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,9-10,6,0.274509803922
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,10-20,7,0.299019607843
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,20-60,8,0.0637254901961
0,M,25,4,English,3,cheetah,speed,fig,fast,man,man,>60,9,0.0
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,0-1,0,0.0
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,1-5,1,0.0503144654088
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,5-6,2,0.163522012579
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,6-7,3,0.25786163522
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,7-8,4,0.25786163522
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,8-9,5,0.157232704403
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,9-10,6,0.0691823899371
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,10-20,7,0.0440251572327
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,20-60,8,0.0
0,M,25,4,English,4,turtle,speed,lit,slow,woman,man,>60,9,0.0
