date,workerid,amount
Fri Feb 05 11:01:26 PST 2016,AJVGW8ZY3SWE4,1.1
Fri Feb 05 11:03:47 PST 2016,A2AK649KPZ2IZN,1.1
Fri Feb 05 11:06:15 PST 2016,A12U7YNO0GKNKZ,1.1
Fri Feb 05 11:06:49 PST 2016,A2O7H7VXLFN6BP,1.1
Fri Feb 05 11:06:57 PST 2016,A147F5PJTHOB8A,1.1
Fri Feb 05 11:10:44 PST 2016,A2BZJAUH0XPO54,1.1
Fri Feb 05 11:15:17 PST 2016,ALLP45O3BDWYM,1.1
Fri Feb 05 11:16:24 PST 2016,A3U74S280Z4B0,1.1
Fri Feb 05 12:36:43 PST 2016,A39Q4SNT7SRK94,1.1
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
