workerid,language,enjoyment,gender,age,comments,asses,education
0,english,1,Male,26,,Yes,3
1,english,1,Female,33,,Yes,3
2,english,2,Male,32,,Yes,3
3,English,1,Male,22,,Yes,2
4,english,2,Male,38,,Yes,2
5,English,1,Male,22,,Yes,3
6,English,1,Female,26,,Yes,3
7,English,2,Male,57,,Yes,1
8,English,1,Male,25,,Yes,3
