categoryID,animal,featureNum,feature,antonym
1,ant,1,small,large
1,ant,2,strong,weak
1,ant,3,busy,idle
2,bat,1,scary,unalarming
2,bat,2,blind,sighted
2,bat,3,nocturnal,diurnal
3,bear,1,scary,unalarming
3,bear,2,big,small
3,bear,3,fierce,nonviolent
4,bee,1,busy,idle
4,bee,2,small,large
4,bee,3,angry,unangry
5,bird,1,free,unfree
5,bird,2,graceful,awkward
5,bird,3,small,large
6,buffalo,1,big,small
6,buffalo,2,strong,weak
6,buffalo,3,wild,tame
7,cat,1,independent,dependent
7,cat,2,lazy,fast
7,cat,3,soft,hard
8,cow,1,fat,thin
8,cow,2,dumb,smart
8,cow,3,lazy,fast
9,dog,1,loyal,disloyal
9,dog,2,friendly,unfriendly
9,dog,3,happy,unhappy
10,dolphin,1,smart,stupid
10,dolphin,2,friendly,unfriendly
10,dolphin,3,playful,unplayful
11,duck,1,loud,quiet
11,duck,2,cute,unattractive
11,duck,3,quacking,non-quacking
12,elephant,1,huge,small
12,elephant,2,smart,stupid
12,elephant,3,heavy,light
13,fish,1,scaly,smooth
13,fish,2,wet,dry
13,fish,3,smelly,fragrant
14,fox,1,sly,artless
14,fox,2,smart,stupid
14,fox,3,pretty,ugly
15,frog,1,slimy,nonslippery
15,frog,2,noisy,quiet
15,frog,3,jumpy,relaxed
16,goat,1,funny,humorless
16,goat,2,hungry,full
16,goat,3,loud,quiet
17,goose,1,loud,quiet
17,goose,2,mean,nice
17,goose,3,annoying,agreeable
18,horse,1,fast,slow
18,horse,2,strong,weak
18,horse,3,beautiful,ugly
19,kangaroo,1,jumpy,relaxed
19,kangaroo,2,bouncy,inelastic
19,kangaroo,3,cute,unattractive
20,lion,1,ferocious,nonviolent
20,lion,2,scary,unalarming
20,lion,3,strong,weak
21,monkey,1,funny,humorless
21,monkey,2,smart,stupid
21,monkey,3,playful,unplayful
22,owl,1,wise,foolish
22,owl,2,quiet,loud
22,owl,3,nocturnal,diurnal
23,ox,1,strong,weak
23,ox,2,big,small
23,ox,3,slow,fast
24,penguin,1,cold,hot
24,penguin,2,cute,unattractive
24,penguin,3,funny,humorless
25,pig,1,dirty,clean
25,pig,2,fat,thin
25,pig,3,smelly,fragrant
26,rabbit,1,fast,slow
26,rabbit,2,furry,hairless
26,rabbit,3,cute,unattractive
27,shark,1,scary,unalarming
27,shark,2,dangerous,safe
27,shark,3,mean,nice
28,sheep,1,wooly,hairless
28,sheep,2,fluffy,hard
28,sheep,3,dumb,smart
29,tiger,1,striped,unpatterned
29,tiger,2,fierce,nonviolent
29,tiger,3,scary,unalarming
30,whale,1,large,small
30,whale,2,graceful,awkward
30,whale,3,majestic,inferior
31,wolf,1,scary,unalarming
31,wolf,2,mean,nice
31,wolf,3,angry,unangry
32,zebra,1,striped,unpatterned
32,zebra,2,exotic,native
32,zebra,3,fast,slow
