categoryID,animal,f1,f2,f3,N,featureProb,sd,se,ci,feature,featureNum,category
1,ant,small,strong,busy,40,0.925,0.093198162,0.014735923,0.029806218,small,1,animal
1,ant,small,strong,busy,40,0.80625,0.265587761,0.041993112,0.084939087,strong,2,animal
1,ant,small,strong,busy,40,0.858125,0.18737282,0.029626244,0.059924735,busy,3,animal
1,ant,small,strong,busy,40,0.4625,0.182924953,0.028922975,0.058502238,small,1,person
1,ant,small,strong,busy,40,0.580625,0.154679932,0.024457045,0.049469042,strong,2,person
1,ant,small,strong,busy,40,0.58375,0.149630956,0.023658732,0.047854301,busy,3,person
2,bat,scary,blind,nocturnal,40,0.555,0.271758282,0.042968757,0.086912515,scary,1,animal
2,bat,scary,blind,nocturnal,40,0.734375,0.271551071,0.042935994,0.086846246,blind,2,animal
2,bat,scary,blind,nocturnal,40,0.829375,0.196596644,0.031084659,0.062874657,nocturnal,3,animal
2,bat,scary,blind,nocturnal,40,0.39375,0.141845664,0.022427769,0.045364444,scary,1,person
2,bat,scary,blind,nocturnal,40,0.331875,0.180187536,0.028490151,0.05762677,blind,2,person
2,bat,scary,blind,nocturnal,40,0.366875,0.194753913,0.030793297,0.062285323,nocturnal,3,person
3,bear,scary,big,fierce,40,0.81125,0.152642325,0.024134871,0.048817384,scary,1,animal
3,bear,scary,big,fierce,40,0.851875,0.128025876,0.020242668,0.040944662,big,2,animal
3,bear,scary,big,fierce,40,0.8125,0.152016362,0.024035897,0.048617191,fierce,3,animal
3,bear,scary,big,fierce,40,0.386875,0.1989546,0.031457484,0.063628768,scary,1,person
3,bear,scary,big,fierce,40,0.49625,0.139314945,0.022027627,0.044555081,big,2,person
3,bear,scary,big,fierce,40,0.380625,0.188914536,0.029870011,0.0604178,fierce,3,person
4,bee,busy,small,angry,40,0.823125,0.207270687,0.032772373,0.066288382,busy,1,animal
4,bee,busy,small,angry,40,0.86125,0.222309411,0.035150204,0.071097999,small,2,animal
4,bee,busy,small,angry,40,0.603125,0.254774127,0.040283327,0.081480719,angry,3,animal
4,bee,busy,small,angry,40,0.581875,0.159223627,0.025175466,0.050922186,busy,1,person
4,bee,busy,small,angry,40,0.460625,0.188013187,0.029727495,0.060129534,small,2,person
4,bee,busy,small,angry,40,0.473125,0.161363134,0.025513752,0.051606434,angry,3,person
5,bird,small,graceful,free,40,0.76875,0.16327478,0.025816009,0.052217808,small,1,animal
5,bird,small,graceful,free,40,0.78375,0.153855368,0.02432667,0.049205334,graceful,2,animal
5,bird,small,graceful,free,40,0.808125,0.159163227,0.025165916,0.050902869,free,3,animal
5,bird,small,graceful,free,40,0.433125,0.183483694,0.029011319,0.058680932,small,1,person
5,bird,small,graceful,free,40,0.514375,0.187415579,0.029633005,0.05993841,graceful,2,person
5,bird,small,graceful,free,40,0.64375,0.198209129,0.031339615,0.063390355,free,3,person
6,buffalo,big,strong,wild,40,0.823125,0.155083466,0.024520849,0.049598099,big,1,animal
6,buffalo,big,strong,wild,40,0.84625,0.137111923,0.021679299,0.04385052,strong,2,animal
6,buffalo,big,strong,wild,40,0.808125,0.177354807,0.028042257,0.056720819,wild,3,animal
6,buffalo,big,strong,wild,40,0.52625,0.142206738,0.02248486,0.045479921,big,1,person
6,buffalo,big,strong,wild,40,0.55625,0.150186849,0.023746626,0.048032085,strong,2,person
6,buffalo,big,strong,wild,40,0.333125,0.198422262,0.031373314,0.063458518,wild,3,person
7,cat,independent,lazy,soft,40,0.75625,0.217705841,0.034422316,0.069625706,independent,1,animal
7,cat,independent,lazy,soft,40,0.703125,0.2345336,0.037083018,0.075007484,lazy,2,animal
7,cat,independent,lazy,soft,40,0.795,0.157321327,0.024874686,0.050313801,soft,3,animal
7,cat,independent,lazy,soft,40,0.5925,0.159747397,0.025258281,0.051089696,independent,1,person
7,cat,independent,lazy,soft,40,0.4725,0.147065309,0.023253067,0.047033768,lazy,2,person
7,cat,independent,lazy,soft,40,0.324375,0.176094335,0.027842959,0.0563177,soft,3,person
8,cow,fat,lazy,dumb,40,0.75125,0.202385612,0.031999975,0.064726059,fat,1,animal
8,cow,fat,lazy,dumb,40,0.655625,0.237000994,0.037473147,0.075796595,lazy,2,animal
8,cow,fat,lazy,dumb,40,0.646875,0.226680865,0.035841392,0.072496058,dumb,3,animal
8,cow,fat,lazy,dumb,40,0.495625,0.148268586,0.023443322,0.047418594,fat,1,person
8,cow,fat,lazy,dumb,40,0.4975,0.166871669,0.026384728,0.053368149,lazy,2,person
8,cow,fat,lazy,dumb,40,0.428125,0.143690763,0.022719504,0.045954535,dumb,3,person
9,dog,loyal,friendly,happy,40,0.83625,0.119554461,0.01890322,0.038235372,loyal,1,animal
9,dog,loyal,friendly,happy,40,0.761875,0.145882318,0.02306602,0.046655429,friendly,2,animal
9,dog,loyal,friendly,happy,40,0.74375,0.154914162,0.02449408,0.049543952,happy,3,animal
9,dog,loyal,friendly,happy,40,0.5975,0.163769694,0.025894262,0.052376089,loyal,1,person
9,dog,loyal,friendly,happy,40,0.633125,0.15764569,0.024925972,0.050417537,friendly,2,person
9,dog,loyal,friendly,happy,40,0.6175,0.165269787,0.026131448,0.052855842,happy,3,person
10,dolphin,smart,friendly,playful,40,0.83125,0.132861746,0.021007287,0.042491248,smart,1,animal
10,dolphin,smart,friendly,playful,40,0.775625,0.154783503,0.024473421,0.049502166,friendly,2,animal
10,dolphin,smart,friendly,playful,40,0.825,0.140054934,0.022144629,0.044791741,playful,3,animal
10,dolphin,smart,friendly,playful,40,0.606875,0.143556866,0.022698333,0.045911713,smart,1,person
10,dolphin,smart,friendly,playful,40,0.619375,0.152908501,0.024176957,0.048902511,friendly,2,person
10,dolphin,smart,friendly,playful,40,0.5525,0.143312461,0.02265969,0.045833549,playful,3,person
11,duck,loud,cute,quacking,40,0.715625,0.154181825,0.024378287,0.04930974,loud,1,animal
11,duck,loud,cute,quacking,40,0.708125,0.205718527,0.032526955,0.065791977,cute,2,animal
11,duck,loud,cute,quacking,40,0.86875,0.140026325,0.022140106,0.044782591,quacking,3,animal
11,duck,loud,cute,quacking,40,0.519375,0.121882602,0.019271331,0.038979947,loud,1,person
11,duck,loud,cute,quacking,40,0.5225,0.162689731,0.025723505,0.0520307,cute,2,person
11,duck,loud,cute,quacking,40,0.205625,0.195910718,0.030976204,0.062655287,quacking,3,person
12,elephant,huge,smart,heavy,40,0.90375,0.108537776,0.017161329,0.034712065,huge,1,animal
12,elephant,huge,smart,heavy,40,0.7125,0.227373521,0.03595091,0.07271758,smart,2,animal
12,elephant,huge,smart,heavy,40,0.914375,0.096391213,0.015240789,0.030827406,heavy,3,animal
12,elephant,huge,smart,heavy,40,0.403125,0.178687119,0.028252914,0.057146913,huge,1,person
12,elephant,huge,smart,heavy,40,0.578125,0.144358384,0.022825065,0.046168051,smart,2,person
12,elephant,huge,smart,heavy,40,0.44125,0.162467946,0.025688438,0.05195977,heavy,3,person
13,fish,scaly,wet,smelly,40,0.896875,0.110533018,0.017476805,0.035350174,scaly,1,animal
13,fish,scaly,wet,smelly,40,0.933125,0.091003575,0.014388929,0.029104355,wet,2,animal
13,fish,scaly,wet,smelly,40,0.794375,0.177363843,0.028043686,0.056723709,smelly,3,animal
13,fish,scaly,wet,smelly,40,0.154375,0.183440018,0.029004414,0.058666964,scaly,1,person
13,fish,scaly,wet,smelly,40,0.270625,0.180267563,0.028502804,0.057652364,wet,2,person
13,fish,scaly,wet,smelly,40,0.351875,0.160466817,0.025372032,0.051319778,smelly,3,person
14,fox,sly,smart,pretty,40,0.785,0.158397423,0.025044832,0.050657953,sly,1,animal
