categoryID,animal,f1,f2,f3,N,featureProb,sd,se,ci,feature,featureNum,category
1,ant,small,strong,busy,40,0.910931504,0.58698125,0.092809885,0.187725711,small,1,animal
1,ant,small,strong,busy,40,0.807798577,1.011917373,0.159998185,0.323626876,strong,2,animal
1,ant,small,strong,busy,40,0.846487651,0.639134367,0.101056017,0.204405087,busy,3,animal
1,ant,small,strong,busy,40,0.288731726,0.602104656,0.095201105,0.192562411,small,1,person
1,ant,small,strong,busy,40,0.432905681,0.529726947,0.083757184,0.169414897,strong,2,person
1,ant,small,strong,busy,40,0.435939296,0.499359082,0.078955603,0.159702782,busy,3,person
2,bat,scary,blind,nocturnal,40,0.422721882,1.084290965,0.171441455,0.346773074,scary,1,animal
2,bat,scary,blind,nocturnal,40,0.706505085,1.147110403,0.18137408,0.366863705,blind,2,animal
2,bat,scary,blind,nocturnal,40,0.831226365,0.744263052,0.117678321,0.238026871,nocturnal,3,animal
2,bat,scary,blind,nocturnal,40,0.194449081,0.500625302,0.079155811,0.160107739,scary,1,person
2,bat,scary,blind,nocturnal,40,0.128036401,0.63104678,0.099777257,0.201818551,blind,2,person
2,bat,scary,blind,nocturnal,40,0.156021138,0.694119011,0.109749852,0.221990029,nocturnal,3,person
3,bear,scary,big,fierce,40,0.774836775,0.528563597,0.083573243,0.169042839,scary,1,animal
3,bear,scary,big,fierce,40,0.829305522,0.480442204,0.075964582,0.153652871,big,2,animal
3,bear,scary,big,fierce,40,0.779840907,0.491231623,0.077670539,0.157103495,fierce,3,animal
3,bear,scary,big,fierce,40,0.187999925,0.580887363,0.091846357,0.185776791,scary,1,person
3,bear,scary,big,fierce,40,0.316129328,0.413343596,0.065355361,0.132193695,big,2,person
3,bear,scary,big,fierce,40,0.178316156,0.568798036,0.089934866,0.181910437,fierce,3,person
4,bee,busy,small,angry,40,0.807922277,0.70035957,0.110736571,0.223985857,busy,1,animal
4,bee,busy,small,angry,40,0.855049299,0.947830008,0.149865083,0.303130743,small,2,animal
4,bee,busy,small,angry,40,0.452220216,0.966844602,0.152871554,0.309211905,angry,3,animal
4,bee,busy,small,angry,40,0.437995643,0.570990459,0.090281519,0.182611608,busy,1,person
4,bee,busy,small,angry,40,0.274995676,0.544474366,0.086088956,0.17413135,small,2,person
4,bee,busy,small,angry,40,0.279332189,0.534906951,0.084576215,0.171071542,angry,3,person
5,bird,small,graceful,free,40,0.716110184,0.555490068,0.087830692,0.177654343,small,1,animal
5,bird,small,graceful,free,40,0.731646779,0.531235871,0.083995766,0.169897474,graceful,2,animal
5,bird,small,graceful,free,40,0.773622236,0.625266772,0.098863357,0.199970015,free,3,animal
5,bird,small,graceful,free,40,0.239860434,0.548868021,0.086783654,0.175536509,small,1,person
5,bird,small,graceful,free,40,0.326950508,0.595971649,0.094231392,0.19060098,graceful,2,person
5,bird,small,graceful,free,40,0.520898121,0.748817026,0.118398368,0.239483303,free,3,person
6,buffalo,big,strong,wild,40,0.810399729,0.511652428,0.080899352,0.163634385,big,1,animal
6,buffalo,big,strong,wild,40,0.836290012,0.442154415,0.069910751,0.141407842,strong,2,animal
