categoryID,animal,f1,f2,f3,N,featureProb,sd,se,ci,feature,featureNum,category
16,goat,funny,hungry,loud,40,0.635625,0.179554961,0.028390132,0.057424462,loud,3,animal
16,goat,funny,hungry,loud,40,0.575625,0.11746351,0.018572612,0.037566653,funny,1,person
16,goat,funny,hungry,loud,40,0.61875,0.14792908,0.023389641,0.047310015,hungry,2,person
16,goat,funny,hungry,loud,40,0.575625,0.1296553,0.020500303,0.041465777,loud,3,person
17,goose,loud,mean,annoying,40,0.698125,0.213291324,0.03372432,0.068213875,loud,1,animal
17,goose,loud,mean,annoying,40,0.6475,0.229952615,0.036358701,0.073542414,mean,2,animal
17,goose,loud,mean,annoying,40,0.664375,0.203879639,0.032236201,0.065203872,annoying,3,animal
17,goose,loud,mean,annoying,40,0.5575,0.109515249,0.017315881,0.035024676,loud,1,person
17,goose,loud,mean,annoying,40,0.520625,0.116696997,0.018451415,0.03732151,mean,2,person
17,goose,loud,mean,annoying,40,0.54375,0.124260634,0.019647331,0.039740479,annoying,3,person
18,horse,fast,strong,beautiful,40,0.831875,0.115051201,0.018191192,0.036795159,fast,1,animal
18,horse,fast,strong,beautiful,40,0.82875,0.125390416,0.019825966,0.040101801,strong,2,animal
18,horse,fast,strong,beautiful,40,0.7825,0.157117464,0.024842452,0.050248603,beautiful,3,animal
18,horse,fast,strong,beautiful,40,0.5025,0.146081291,0.02309748,0.046719063,fast,1,person
18,horse,fast,strong,beautiful,40,0.536875,0.151275295,0.023918724,0.048380186,strong,2,person
18,horse,fast,strong,beautiful,40,0.54875,0.165439392,0.026158265,0.052910084,beautiful,3,person
19,kangaroo,jumpy,bouncy,cute,40,0.7875,0.204907734,0.032398757,0.065532673,jumpy,1,animal
19,kangaroo,jumpy,bouncy,cute,40,0.83375,0.109566453,0.017323977,0.035041052,bouncy,2,animal
19,kangaroo,jumpy,bouncy,cute,40,0.699375,0.188659874,0.029829745,0.060336355,cute,3,animal
19,kangaroo,jumpy,bouncy,cute,40,0.4175,0.174972525,0.027665585,0.055958928,jumpy,1,person
19,kangaroo,jumpy,bouncy,cute,40,0.358125,0.169878114,0.026860088,0.054329657,bouncy,2,person
19,kangaroo,jumpy,bouncy,cute,40,0.54,0.124653366,0.019709428,0.03986608,cute,3,person
20,lion,scary,strong,ferocious,40,0.734375,0.211805993,0.033489468,0.067738843,scary,1,animal
20,lion,scary,strong,ferocious,40,0.870625,0.103293132,0.016332078,0.033034746,strong,2,animal
20,lion,scary,strong,ferocious,40,0.824375,0.136870646,0.021641149,0.043773356,ferocious,3,animal
20,lion,scary,strong,ferocious,40,0.456875,0.167464836,0.026478515,0.053557853,scary,1,person
20,lion,scary,strong,ferocious,40,0.538125,0.133851657,0.021163805,0.042807837,strong,2,person
20,lion,scary,strong,ferocious,40,0.345,0.176704157,0.02793938,0.056512731,ferocious,3,person
21,monkey,funny,smart,playful,40,0.66375,0.183532817,0.029019086,0.058696642,funny,1,animal
21,monkey,funny,smart,playful,40,0.72625,0.174123262,0.027531305,0.055687321,smart,2,animal
21,monkey,funny,smart,playful,40,0.739375,0.139468715,0.02205194,0.044604259,playful,3,animal
21,monkey,funny,smart,playful,40,0.565,0.12020282,0.019005735,0.038442727,funny,1,person
21,monkey,funny,smart,playful,40,0.580625,0.120693442,0.019083309,0.038599636,smart,2,person
21,monkey,funny,smart,playful,40,0.58,0.134831329,0.021318705,0.043121151,playful,3,person
22,owl,wise,quiet,nocturnal,40,0.551875,0.20734799,0.032784596,0.066313104,wise,1,animal
22,owl,wise,quiet,nocturnal,40,0.638125,0.200798686,0.03174906,0.064218535,quiet,2,animal
22,owl,wise,quiet,nocturnal,40,0.89,0.102344316,0.016182057,0.0327313,nocturnal,3,animal
22,owl,wise,quiet,nocturnal,40,0.539375,0.149774136,0.02368137,0.047900092,wise,1,person
22,owl,wise,quiet,nocturnal,40,0.50375,0.138043796,0.021826641,0.044148548,quiet,2,person
22,owl,wise,quiet,nocturnal,40,0.31,0.182117178,0.028795254,0.058243899,nocturnal,3,person
