date,workerid,amount
Fri Feb 05 10:59:45 PST 2016,AFKZZEURTCR8U,1.1
Fri Feb 05 11:00:17 PST 2016,AVVXFDH5UUYLT,1.1
Fri Feb 05 11:02:41 PST 2016,A3ACUGH5N9VQO2,1.1
Fri Feb 05 11:03:39 PST 2016,AZSAF65XFKDK7,1.1
Fri Feb 05 11:07:42 PST 2016,ARX0S1CIDJLOX,1.1
Fri Feb 05 11:14:52 PST 2016,A18LPAFMK1B06K,1.1
Fri Feb 05 11:16:15 PST 2016,A2RMJNF6IPI42F,1.1
Fri Feb 05 11:22:54 PST 2016,A2JCHN90PRUWDH,1.1
Fri Feb 05 11:24:01 PST 2016,A1K8QNLYYYX21W,1.1
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
