workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Male,30,,Yes,3
1,english,2,Female,24,,Yes,3
2,English,1,Female,31,No comments,Yes,3
3,English,1,Male,41,N/A,Yes,3
4,English,1,Female,36,"No issues, thanks.",Yes,3
5,english,1,Male,26,,Yes,2
6,english,2,Female,31,,Yes,3
7,English,1,Male,22,,No,2
8,english,2,Male,27,great survey! loved it.,Yes,2
