small,20,ant,xxx
strong,10,ant,xxx
busy,7,ant,xxx
scary,13,bat,xxx
blind,6,bat,xxx
nocturnal,6,bat,xxx
scary,11,bear,xxx
big,9,bear,xxx
fierce,7,bear,xxx
busy,12,bee,xxx
small,5,bee,xxx
angry,4,bee,xxx
free,5,bird,xxx
graceful,5,bird,xxx
small,5,bird,xxx
big,10,buffalo,xxx
strong,7,buffalo,xxx
wild,5,buffalo,xxx
independent,5,cat,xxx
lazy,5,cat,xxx
soft,5,cat,xxx
fat,10,cow,xxx
dumb,6,cow,xxx
lazy,6,cow,xxx
loyal,22,dog,xxx
friendly,19,dog,xxx
happy,5,dog,xxx
smart,21,dolphin,xxx
friendly,12,dolphin,xxx
playful,8,dolphin,xxx
loud,6,duck,xxx
cute,5,duck,xxx
quacking,5,duck,xxx
huge,18,elephant,xxx
smart,4,elephant,xxx
heavy,3,elephant,xxx
scaly,9,fish,xxx
wet,7,fish,xxx
smelly,6,fish,xxx
sly,38,fox,xxx
smart,5,fox,xxx
pretty,3,fox,xxx
slimy,16,frog,xxx
noisy,5,frog,xxx
jumpy,4,frog,xxx
funny,8,goat,xxx
hungry,8,goat,xxx
loud,4,goat,xxx
loud,13,goose,xxx
mean,5,goose,xxx
annoying,3,goose,xxx
fast,19,horse,xxx
strong,7,horse,xxx
beautiful,6,horse,xxx
jumpy,7,kangaroo,xxx
bouncy,5,kangaroo,xxx
cute,4,kangaroo,xxx
ferocious,5,lion,xxx
scary,5,lion,xxx
strong,5,lion,xxx
funny,14,monkey,xxx
smart,12,monkey,xxx
playful,10,monkey,xxx
wise,34,owl,xxx
quiet,5,owl,xxx
nocturnal,4,owl,xxx
strong,40,ox,xxx
big,10,ox,xxx
slow,2,ox,xxx
cold,19,penguin,xxx
cute,13,penguin,xxx
funny,7,penguin,xxx
dirty,28,pig,xxx
fat,11,pig,xxx
smelly,4,pig,xxx
fast,17,rabbit,xxx
furry,8,rabbit,xxx
cute,7,rabbit,xxx
scary,15,shark,xxx
dangerous,7,shark,xxx
mean,7,shark,xxx
wooly,18,sheep,xxx
fluffy,9,sheep,xxx
dumb,5,sheep,xxx
striped,13,tiger,xxx
fierce,7,tiger,xxx
scary,7,tiger,xxx
large,20,whale,xxx
graceful,2,whale,xxx
majestic,2,whale,xxx
scary,11,wolf,xxx
mean,5,wolf,xxx
angry,4,wolf,xxx
striped,36,zebra,xxx
exotic,4,zebra,xxx
fast,4,zebra,xxx
